	Ortsteil	Haltestelle	globaleID	lat	lon	mode	match_state	osm_id	distance	rating	osm_name	routes	official_direction	osm_direction	WKT
0	Aising	Kirche	de:09163:154:1:1	47.82928	12.107341	bus	MATCHED	n8428207614	7.8	0.73	Aising, Kirche	407,412,422,490	Aising, Kirnsteinstr. / Rosenheim, Kufsteiner Str./Alpenweg	Aising, Kirnsteinstraße / Rosenheim, Kufsteiner Str./Alpenweg	LINESTRING(12.107341 47.82928,12.1074172 47.829327400000004)
1	Aising	Kirche	de:09163:154:2:6	47.829129	12.106703	bus	MATCHED	n8428207611	5.2	0.79	Aising, Kirche	407,411,421,490	Aising, Schönau / Aising, Panger Str./Kindergarten / Pang, Schule	Schönau / Pang, Schule / Pang, Panger Str./Kindergarten	LINESTRING(12.106703 47.829129,12.106641900000001 47.8291064)
2	Aising	Kirnsteinstr. 	de:09163:155:1:1	47.831988	12.111114	bus	MATCHED	n8428244397	1.7	0.76	Aising, Kirnsteinstraße	407,412,422	Rosenheim, Heilig Blut / Rosenheim, Mangfallstr./Kaltenbrücke	Rosenheim, Mangfallstr./Kaltenbrücke / Rosenheim, Heilig Blut	LINESTRING(12.111114 47.831988,12.111119100000002 47.8319727)
3	Aising	Kirnsteinstr. 	de:09163:155:2:6	47.831982	12.11097	bus	MATCHED	n8428244395	3.9	0.7	Aising, Kirnsteinstraße	407,407V,411,421	Aising, Kirche / Aising, Schule	Aising, Kirche / Aising, Schule	LINESTRING(12.11097 47.831982,12.1109208 47.8319695)
4	Aising	Panger Str. /Kindergarten	de:09163:231:1:1	47.825595	12.100217	bus	MATCHED	n2516471876	0.2	0.96	Pang, Panger Str./Kindergarten	412,422	Aising, Kirche / Aising, Schule	Aising, Kirche / Aising, Schule	LINESTRING(12.100217 47.825595,12.1002197 47.825595)
5	Aising	Panger Str. /Kindergarten	de:09163:231:2:6	47.825716	12.100361	bus	MATCHED	n2516471880	6.4	0.76	Pang, Panger Str./Kindergarten	407V,411,421	Pang, Am Wasen/Schulweg / Pang, Schule / Pang, Grünthalweg	Pang, Schule / Pang, Am Wasen/Schulweg / Pang, Grünthalweg	LINESTRING(12.100361 47.825716,12.100445800000001 47.825714500000004)
6	Aising	Schule	de:09163:153:1:1	47.83004	12.106353	bus	MATCHED	n1503625862	0.5	1.0	Aising, Schule	407,407V,412	Aising, Panger Str./Kindergarten / Aising, Kirche	Rosenheim, Heilig Blut / Pang, Panger Str./Kindergarten / Aising, Kirche	LINESTRING(12.106353 47.83004,12.106348200000001 47.830043100000005)
7	Aising	Schönau	de:09163:99005:0:1	47.82226	12.112946	bus	MATCHED	n4446442022	4.8	0.8	Schönau	490	Rosenheim, WEKO	Rosenheim, Weko	LINESTRING(12.112946 47.82226,12.113009100000001 47.8222541)
8	Aising	Schönau	de:09163:99005:0:2	47.822706	12.112497	bus	MATCHED	n4446442023	4.6	0.81	Schönau	490	Aising, Kirche	Aising, Kirche	LINESTRING(12.112497 47.822706,12.112558100000001 47.8227101)
9	Au b Happing	Floriansee	de:09163:11016:0:1	47.835407	12.14268		MATCHED	n12010079468	2.1	0.79	Floriansee			Rosenheim, Föhrenweg	LINESTRING(12.14268 47.835407,12.142686600000001 47.8354255)
10	Au b Happing	Happinger Ausee	de:09163:11014:0:1	47.832223	12.138791		NO_MATCH_AND_SEEMS_UNSERVED								POINT(12.138791 47.832223)
11	Happing	Dorfplatz	de:09163:137:0:6	47.828973	12.127786		MATCHED	n4466591540	32.6	1.0	Alt-Happing				LINESTRING(12.127786 47.828973,12.1277989 47.8286802)
12	Happing	Dorfplatz	de:09163:137:1:1	47.828599	12.127768	bus	NO_MATCH_BUT_OTHER_PLATFORM_MATCHED					403,413	Happing, Happinger Hof / Rosenheim, WEKO / Rosenheim, Happinger Ausee		POINT(12.127768 47.828599)
13	Happing	Happinger Hof	de:09163:11139:0:1	47.830215	12.12758	bus	MATCHED	n12552004449	0.9	0.93	Happinger Hof	413,423	Rosenheim, Wegkreuz	Rosenheim, Wegkreuz / Rosenheim, Grundschule Happing	LINESTRING(12.12758 47.830215,12.1275803 47.830207200000004)
14	Happing	Happinger Hof	de:09163:11139:0:6	47.829835	12.127553	bus	MATCHED	n12551286240	1.5	0.91	Happinger Hof	403,420,423	Happing, Dorfplatz / Rosenheim, WEKO / Rosenheim, Happinger Ausee	Happing, Innaustraße / Happinger Ausee	LINESTRING(12.127553 47.829835,12.127562200000002 47.8298471)
15	Happing	Happinger Hof	de:09163:11139:0:7	47.83048	12.127481		NO_MATCH_AND_SEEMS_UNSERVED								POINT(12.127481 47.83048)
16	Happing	Innau-/Waldstr. 	de:09163:330:0:6	47.83045	12.134236		NO_MATCH_AND_SEEMS_UNSERVED								POINT(12.134236 47.83045)
17	Happing	Innaustraße	de:09163:11140:0:1	47.828979	12.12678		MATCHED	n12552004455	2.5	0.77	Happing, Innaustraße			Rosenheim, Weko	LINESTRING(12.12678 47.828979,12.126812500000002 47.828982800000006)
18	Langenpfunzen	Kreisverkehr	de:09163:62:0:1	47.883017	12.11715	bus	MATCHED	n9308069643	2.3	1.0	Langenpfunzen, Kreisverkehr	405,426	Westerndorf St.Peter, Abzw. Römerstr.	Westerndorf St. Peter, Abzw. Römerstraße	LINESTRING(12.11715 47.883017,12.1171289 47.8830024)
19	Langenpfunzen	Ortsmitte	de:09163:11502:0:6	47.879456	12.122944		NO_MATCH_AND_SEEMS_UNSERVED								POINT(12.122944 47.879456)
20	Langenpfunzen	Römerstr. 	de:09163:59:0:1	47.877239	12.122001	bus	MATCHED	n4449540379	1.2	0.8	Langenpfunzen, Römerstraße	405	Westerndorf St.Peter, Schule	Westerndorf St. Peter, Schule / Rosenheim, Ebersberger-/Pernauerstraße	LINESTRING(12.122001 47.877239,12.1220096 47.8772297)
21	Langenpfunzen	Römerstr. 	de:09163:59:0:2	47.877155	12.122055	bus	NO_MATCH_BUT_OTHER_PLATFORM_MATCHED					405	Rosenheim, Ebersberger-/Pernauerstr.		POINT(12.122055 47.877155)
22	Langenpfunzen	Römerstr. 	de:09163:59:1:6	47.877046	12.122316	bus	MATCHED	n11439237925	6.2	0.72	Langenpfunzen, Römerstraße	405,426	Langenpfunzen, Kreisverkehr	Langenpfunzen, Kreisverkehr	LINESTRING(12.122316 47.877046,12.1223335 47.877100500000005)
