	Ortsteil	Haltestelle	globaleID	lat	lon	mode	match_state	osm_id	distance	rating	osm_name	routes	official_direction	osm_direction	WKT
0	Biewer	Donaustraße	de:07211:2602:0:1	49.779382	6.664718	bus	MATCHED	n564719873	5.3	0.79	Biewer (Trier), Donaustraße	18,57/S,8,87	Biewer, Süd	Biewer (Trier), Süd	LINESTRING(6.664718 49.779382,6.664644900000001 49.7793882)
1	Biewer	Donaustraße	de:07211:2602:0:2	49.779289	6.664475	bus	MATCHED	n564719767	5.3	0.79	Biewer (Trier), Donaustraße	18,57/S,8,87	Biewer, Levelingstraße	Biewer (Trier), Levelingstraße	LINESTRING(6.664475 49.779289,6.664511900000001 49.7792479)
2	Biewer	Levelingstraße	de:07211:2603	49.780664	6.667521	bus	MATCHED_AMBIGUOUSLY	n564720065	23.0	0.37	Biewer (Trier), Levelingstraße	18,57/S,8,87	Biewer, Donaustraße / Biewer, Nord	Biewer (Trier), Donaustraße	LINESTRING(6.667521 49.780664,6.6672435000000005 49.7805608)
3	Biewer	Levelingstraße	de:07211:2603	49.780664	6.667521	bus	MATCHED_AMBIGUOUSLY	n1443439590	22.8	0.37	Biewer (Trier), Levelingstraße	18,57/S,8,87	Biewer, Donaustraße / Biewer, Nord	Biewer (Trier), Nord	LINESTRING(6.667521 49.780664,6.6678172 49.780735500000006)
4	Biewer	Nord	de:07211:2604	49.783773	6.671401	bus	MATCHED_AMBIGUOUSLY	n1443439429	7.4	0.62	Biewer (Trier), Nord	18,57/S,8,87	Ehrang, Mäusheckerweg / Ehrang, Mäusheckerweg / Biewer, Levelingstraße	Ehrang (Trier), Mäusheckerweg	LINESTRING(6.671401 49.783773,6.671503700000001 49.783765700000004)
5	Biewer	Nord	de:07211:2604	49.783773	6.671401	bus	MATCHED_AMBIGUOUSLY	n1443439432	7.4	0.62	Biewer (Trier), Nord	18,57/S,8,87	Ehrang, Mäusheckerweg / Ehrang, Mäusheckerweg / Biewer, Levelingstraße	Biewer (Trier), Levelingstraße	LINESTRING(6.671401 49.783773,6.6712996 49.783785400000006)
6	Biewer	Süd	de:07211:2601	49.777717	6.662221	bus	MATCHED_AMBIGUOUSLY	n1447403038	39.5	0.27	Biewer (Trier), Süd	18,57/S,8,87	Pallien, St. Urban / Biewer, Donaustraße	Pallien (Trier), Sankt Urban	LINESTRING(6.662221 49.777717,6.661755 49.7775297)
7	Biewer	Süd	de:07211:2601	49.777717	6.662221	bus	MATCHED_AMBIGUOUSLY	n1447403042	43.3	0.25	Biewer (Trier), Süd	18,57/S,8,87	Pallien, St. Urban / Biewer, Donaustraße	Biewer (Trier), Donaustraße	LINESTRING(6.662221 49.777717,6.6627394 49.777915)
8	Ehrang	Agrobstraße	de:07211:2104	49.795001	6.680708	bus	MATCHED_AMBIGUOUSLY	n566977854	52.0	0.22	Ehrang (Trier), Agrobstraße	17,8,87	Ehrang, Lindenplatz / Ehrang, Ehranger Straße / Ehrang, Ehranger Straße	Ehrang (Trier), Ehranger Straße	LINESTRING(6.680708 49.795001,6.6804071 49.794576400000004)
9	Ehrang	Agrobstraße	de:07211:2104	49.795001	6.680708	bus	MATCHED_AMBIGUOUSLY	n566977869	49.4	0.23	Ehrang (Trier), Agrobstraße	17,8,87	Ehrang, Lindenplatz / Ehrang, Ehranger Straße / Ehrang, Ehranger Straße	Ehrang (Trier), Lindenplatz	LINESTRING(6.680708 49.795001,6.681037300000001 49.7953902)
10	Ehrang	Am Moselkai	de:07211:2311:0:1	49.793789	6.695665	bus	MATCHED	n567901463	37.8	0.45	Ehrang (Trier), Am Moselkai	18	Pfalzel, Hafenstraße	Ehrang (Trier), Hafenstraße	LINESTRING(6.695665 49.793789,6.6955578000000004 49.794121800000006)
11	Ehrang	Am Moselkai	de:07211:2311:0:2	49.7938	6.695836	bus	MATCHED	n5534283896	31.7	0.31	Ehrang (Trier), Am Moselkai	18,87	Pfalzel, Hafenstraße / Ehrang, Schiffstraße	Ehrang (Trier), Schiffstraße	LINESTRING(6.695836 49.7938,6.6957968 49.7940838)
12	Ehrang	Auf der Bausch	de:07211:2120:0:1	49.793586	6.670943	bus	MATCHED	n1262398193	2.2	0.82	Ehrang (Trier), Auf der Bausch	17,17 AST	Ehrang, Jungenwald / Ehrang, Jungenwald	Ehrang (Trier), Jungenwald	LINESTRING(6.670943 49.793586,6.6709262 49.793603000000004)
13	Ehrang	Bahnhof	de:07211:2106:1:1	49.802087	6.68572	trainish	NO_MATCH_AND_SEEMS_UNSERVED								POINT(6.68572 49.802087)
14	Ehrang	Bahnhof	de:07211:2106:2:2	49.802179	6.68502		MATCHED	n566977820	5.3	0.62	Ehrang (Trier), Bahnhof			Hüttingen (Kyll), Wendeplatz / Ehrang (Trier), Wallenbachstraße	LINESTRING(6.68502 49.802179,6.6850521 49.8021357)
15	Ehrang	Bahnhof	de:07211:2106:2:Bus	49.80164	6.684867	bus	MATCHED	n566977783	4.3	0.71	Ehrang (Trier), Bahnhof	17,8,87	Ehrang, Wallenbachstraße / Ehrang, Lindenplatz	Trier, Hauptbahnhof / Ehrang (Trier), Lindenplatz	LINESTRING(6.684867 49.80164,6.684807800000001 49.8016397)
16	Ehrang	Bahnhof	de:07211:2106:3:2	49.802046	6.685774	trainish	NO_MATCH_AND_SEEMS_UNSERVED								POINT(6.685774 49.802046)
17	Ehrang	Bahnhof	de:07211:2106:3:3	49.802023	6.685927	trainish	NO_MATCH_AND_SEEMS_UNSERVED								POINT(6.685927 49.802023)
18	Ehrang	Bettemburgstraße	de:07211:2111	49.813612	6.691964	bus	MATCHED_AMBIGUOUSLY	n1610342526	22.1	0.38	Ehrang (Trier), Bettemburgstraße	27,8,87	Ehrang, Quinter Straße / Ehrang, Ort	Ehrang (Trier), Ort	LINESTRING(6.691964 49.813612,6.691716100000001 49.8134948)
19	Ehrang	Bettemburgstraße	de:07211:2111	49.813612	6.691964	bus	MATCHED_AMBIGUOUSLY	n1610342560	22.0	0.38	Ehrang (Trier), Bettemburgstraße	27,8,87	Ehrang, Quinter Straße / Ehrang, Ort	Ehrang (Trier), Quinter Straße	LINESTRING(6.691964 49.813612,6.692247900000001 49.8136859)
20	Ehrang	Buchenweg	de:07211:6615	49.822503	6.692449	bus	MATCHED	n1438711135	2.3	0.88	Ehrang (Trier), Buchenweg	17,17 AST	Ehrang, Heide	Ehrang (Trier), Heide	LINESTRING(6.692449 49.822503,6.692475300000001 49.82249100000001)
21	Ehrang	Ehranger Mühle	de:07211:2124:0:BuRiN	49.808719	6.683133	bus	MATCHED	n5301033086	71.1	0.34	Ehrang (Trier), Ehranger Mühle	17,17 AST	Ehrang, Friedhofstraße / Ehrang, Ersatz Oberstraße	Ehrang (Trier), Friedhofstraße	LINESTRING(6.683133 49.808719,6.683864000000001 49.8082894)
22	Ehrang	Ehranger Mühle	de:07211:2124:0:BuRiS	49.808562	6.683349	bus	MATCHED	n5301033083	90.9	0.31	Ehrang (Trier), Ehranger Mühle	17,17 AST	Ehrang, Wallenbachstraße	Ehrang (Trier), Wallenbachstraße	LINESTRING(6.683349 49.808562,6.684077 49.8078939)
23	Ehrang	Ehranger Straße	de:07211:2103:0:Ri N	49.793893	6.680151	bus	MATCHED	n564718340	5.8	0.8	Ehrang (Trier), Ehranger Straße	17,8,87	Ehrang, Agrobstraße	Ehrang (Trier), Agrobstraße	LINESTRING(6.680151 49.793893,6.6801747 49.793843)
24	Ehrang	Ehranger Straße	de:07211:2103:0:Ri S	49.793267	6.680277	bus	MATCHED	n564716965	13.3	0.66	Ehrang (Trier), Ehranger Straße	87	Pfalzel, Hafenstraße	Ehrang (Trier), Hafenstraße	LINESTRING(6.680277 49.793267,6.6800926 49.793259600000006)
25	Ehrang	Ehranger Straße	de:07211:2103:0:RiS	49.792849	6.679585	bus	MATCHED	n564718341	14.0	0.65	Ehrang (Trier), Ehranger Straße	17,8	Ehrang, Layweg / Ehrang, Layweg / Pallien, Augustastraße / Ehrang, Layweg / Ehrang, Mäusheckerschule	Ehrang (Trier), Layweg	LINESTRING(6.679585 49.792849,6.6795451 49.7929723)
26	Ehrang	Ersatz Oberstraße	de:07211:2125:0:1	49.810232	6.681732	bus	NO_MATCH					17	Ehrang, Ehranger Mühle		POINT(6.681732 49.810232)
27	Ehrang	Friedhofstraße	de:07211:2114	49.811878	6.678947	bus	MATCHED_AMBIGUOUSLY	n5297378549	13.3	0.49	Ehrang (Trier), Friedhofstraße	17 AST	Ehrang, Ehranger Mühle / Ehrang, Karrenbach	Ehrang (Trier), Ehranger Mühle	LINESTRING(6.678947 49.811878,6.6787729 49.8119189)
28	Ehrang	Friedhofstraße	de:07211:2114	49.811878	6.678947	bus	MATCHED_AMBIGUOUSLY	n2548846838	12.9	0.49	Ehrang (Trier), Friedhofstraße	17 AST	Ehrang, Ehranger Mühle / Ehrang, Karrenbach	Ehrang (Trier), Karrenbach	LINESTRING(6.678947 49.811878,6.6788401 49.811970900000006)
29	Ehrang	Friedrich-Spee-Gymn. 	de:07211:2123	49.786528	6.677258		MATCHED_THOUGH_OSM_NO_NAME	w1288953362	28.8	0.09	Ehrang (Trier), Mäusheckerschule				LINESTRING(6.677258 49.786528,6.67751445 49.78632895)
30	Ehrang	Fröhlicherstraße	de:07211:2113	49.809658	6.684526		NO_MATCH_AND_SEEMS_UNSERVED								POINT(6.684526 49.809658)
31	Ehrang	Heide	de:07211:2118	49.823708	6.693455	bus	MATCHED	n700420161	5.7	0.78	Ehrang (Trier), Heide	17,17 AST	Ehrang, Im Pflanzgarten / Quint, Meilenstraße	Ehrang (Trier), Im Pflanzgarten	LINESTRING(6.693455 49.823708,6.6935336 49.8237086)
32	Ehrang	Heidestufe	de:07211:6616	49.815211	6.686915	bus	MATCHED_AMBIGUOUSLY	n5297351480	15.2	0.46	Ehrang (Trier), Heidestufe	17,17 AST	Ehrang, Sportplatz / Ehrang, Vordere Heide / Ehrang, Karrenbach	Ehrang (Trier), Sportplatz / Ehrang (Trier), Karrenbach	LINESTRING(6.686915 49.815211,6.686822800000001 49.815088)
33	Ehrang	Heidestufe	de:07211:6616	49.815211	6.686915	bus	MATCHED_AMBIGUOUSLY	n1438711142	20.7	0.39	Ehrang (Trier), Heidestufe	17,17 AST	Ehrang, Sportplatz / Ehrang, Vordere Heide / Ehrang, Karrenbach	Ehrang (Trier), Vordere Heide	LINESTRING(6.686915 49.815211,6.686920300000001 49.815397100000006)
34	Ehrang	Im Pflanzgarten	de:07211:2117:0:RiBuc	49.821007	6.69032	bus	MATCHED	n1438711134	5.2	0.79	Ehrang (Trier), Im Pflanzgarten	17,17 AST	Ehrang, Buchenweg	Ehrang (Trier), Buchenweg	LINESTRING(6.69032 49.821007,6.690389000000001 49.8210215)
35	Ehrang	Im Pflanzgarten	de:07211:2117:0:RiSpo	49.822398	6.690239	bus	MATCHED	n5056925233	4.6	0.81	Ehrang (Trier), Im Pflanzgarten	17,17 AST	Ehrang, Buchenweg / Ehrang, Sportplatz	Ehrang (Trier), Sportplatz	LINESTRING(6.690239 49.822398,6.690191 49.822371100000005)
36	Ehrang	Jungenwald	de:07211:2119:0:RiN	49.792055	6.667754	bus	MATCHED	n5057213834	1.1	0.88	Ehrang (Trier), Jungenwald	17,17 AST	Ehrang, Layweg / Ehrang, Auf der Bausch	Ehrang (Trier), Auf der Bausch	LINESTRING(6.667754 49.792055,6.667751600000001 49.7920649)
37	Ehrang	Jungenwald	de:07211:2119:0:RiS	49.792414	6.667808	bus	MATCHED	n5057213835	23.9	0.36	Ehrang (Trier), Jungenwald	17,17 AST	Ehrang, Auf der Bausch / Ehrang, Layweg	Ehrang (Trier), Layweg	LINESTRING(6.667808 49.792414,6.6675988 49.7922475)
38	Ehrang	Karrenbach	de:07211:2115	49.814956	6.682289	bus	MATCHED_AMBIGUOUSLY	n2548846841	4.1	0.73	Ehrang (Trier), Karrenbach	17 AST	Ehrang, Friedhofstraße / Ehrang, Heidestufe	Ehrang (Trier), Friedhofstraße	LINESTRING(6.682289 49.814956,6.68224 49.814937300000004)
