	Ortsteil	Haltestelle	globaleID	lat	lon	mode	match_state	osm_id	distance	rating	osm_name	routes	official_direction	osm_direction	WKT
0	Alt Wallmoden	Hinter den Gärten	de:03153:2276:0:1	52.019809	10.30161	bus	NO_MATCH					833,834	Alt Wallmoden, Teichstraße / Alt Wallmoden, Kapellenweg		POINT(10.30161 52.019809)
1	Alt Wallmoden	Kapellenweg	de:03153:2100:0:1	52.020721	10.302661	bus	MATCHED	n247765303	1.4	0.85	Alt Wallmoden, Kapellenweg	650,852	Alt Wallmoden, Teichstraße	Neuwallmoden, Wallmerholer Straße / Alt Wallmoden, Teichstraße	LINESTRING(10.302661 52.020721,10.3026804 52.0207167)
2	Alt Wallmoden	Kapellenweg	de:03153:2100:0:2	52.020788	10.302706	bus	MATCHED	n10027693441	3.9	0.82	Alt Wallmoden, Kapellenweg	650,833,852	Neuwallmoden, Wallmerholmer Str.	Bodenstein, Neuwallmoder Straße	LINESTRING(10.302706 52.020788,10.302745700000001 52.020763)
3	Alt Wallmoden	Teichstraße	de:03153:2101:0:1	52.020522	10.304296	bus	MATCHED	n10027693442	2.3	0.87	Alt Wallmoden, Teichstraße	650,833,852	Alt Wallmoden, Kapellenweg	Alt Wallmoden, Kapellenweg	LINESTRING(10.304296 52.020522,10.3043212 52.020507800000004)
4	Alt Wallmoden	Teichstraße	de:03153:2101:0:2	52.020782	10.304664	bus	MATCHED	n447837093	32.0	0.3	Alt Wallmoden, Teichstraße	650,834,852	SZ-Ringelheim, Wallmoder Straße / Upen		LINESTRING(10.304664 52.020782,10.3044917 52.020514500000004)
5	Altenau	Abzweig Dammhaus	de:03153:4516:0:1	51.77502	10.423071	bus	MATCHED	n1456223165	20.3	0.55	Abzweig Dammhaus	840	Stieglitzecke	Stieglitzecke	LINESTRING(10.423071 51.77502,10.423205600000001 51.7748573)
6	Altenau	Abzweig Dammhaus	de:03153:4516:0:2	51.775059	10.423134	bus	MATCHED	n2807093942	13.8	0.62	Abzweig Dammhaus	840	Altenau, Dammhaus / Altenau, Glockenbergweg	Dammhaus / Altenau, Glockenbergweg	LINESTRING(10.423134 51.775059,10.4232914 51.7749826)
7	Altenau	Dammgraben	de:03153:5231:0:1	51.795726	10.483187		NO_MATCH_AND_SEEMS_UNSERVED								POINT(10.483187 51.795726)
8	Altenau	Dammgraben	de:03153:5231:0:2	51.795742	10.483142		NO_MATCH_AND_SEEMS_UNSERVED								POINT(10.483142 51.795742)
9	Altenau	Dammhaus	de:03153:5242:1:1	51.777182	10.422658	bus	MATCHED	n2413528138	2.0	0.88	Dammhaus	840	Altenau, Abzweig Dammhaus	Abzweig Dammhaus	LINESTRING(10.422658 51.777182,10.4226864 51.7771854)
10	Altenau	Dammhaus	de:03153:5242:1:2	51.777438	10.422892	bus	MATCHED	n3378292147	4.8	0.79	Dammhaus	840	Altenau, Polsterberg	Polsterberg	LINESTRING(10.422892 51.777438,10.4228343 51.777413300000006)
11	Altenau	Dammhaus	de:03153:5242:1:3	51.776788	10.422703		NO_MATCH_AND_SEEMS_UNSERVED								POINT(10.422703 51.776788)
12	Altenau	Feuerwache	de:03153:4610:0:1	51.798043	10.450335	bus	MATCHED	n5864401969	2.0	0.88	Altenau, Feuerwache	840,861	Altenau, Glockenbergweg	Altenau, Glockenbergweg	LINESTRING(10.450335 51.798043,10.450362400000001 51.798038000000005)
13	Altenau	Feuerwache	de:03153:4610:0:2	51.798287	10.450353	bus	MATCHED	n5864401972	0.5	0.94	Altenau, Feuerwache	840,861	Altenau, Markt	Altenau, Markt	LINESTRING(10.450353 51.798287,10.4503503 51.798291400000004)
14	Altenau	Glockenbergweg	de:03153:4632:0:1	51.797715	10.44711	bus	MATCHED	n5864434773	2.5	0.86	Altenau, Glockenbergweg	840,861	Altenau, Therme Heißer Brocken	Altenau, Therme Heißer Brocken	LINESTRING(10.44711 51.797715,10.4470766 51.797723000000005)
15	Altenau	Glockenbergweg	de:03153:4632:0:2	51.797815	10.446886		NO_MATCH_AND_SEEMS_UNSERVED								POINT(10.446886 51.797815)
16	Altenau	Jugendherberge	de:03153:4646:0:1	51.795909	10.447533		NO_MATCH_AND_SEEMS_UNSERVED								POINT(10.447533 51.795909)
17	Altenau	Jugendherberge	de:03153:4646:0:2	51.796515	10.447748		NO_MATCH_AND_SEEMS_UNSERVED								POINT(10.447748 51.796515)
18	Altenau	Markt	de:03153:4654:0:1	51.803887	10.448125	bus	MATCHED	n1094399667	4.8	0.69	Altenau, Markt	840,861	Altenau, Rothenberger Straße / Altenau, Feuerwache / Torfhaus	Altenau, Feuerwache / Altenau, Rothenberger Straße	LINESTRING(10.448125 51.803887,10.448132000000001 51.803843900000004)
19	Altenau	Markt	de:03153:4654:0:2	51.803764	10.447928	bus	MATCHED	n13268700674	58.0	0.13	Altenau, Schultal	840	Altenau, Feuerwache		LINESTRING(10.447928 51.803764,10.4484522 51.8041721)
20	Altenau	Polsterberg	de:03153:5715:0:1	51.790281	10.39508	bus	MATCHED	n2970248398	2.9	0.85	Polsterberg	840	Altenau, Dammhaus	Dammhaus	LINESTRING(10.39508 51.790281,10.3951214 51.7902793)
21	Altenau	Polsterberg	de:03153:5715:0:2	51.79057	10.394325	bus	MATCHED	n2970248399	7.9	0.72	Polsterberg	840	Cl-Z., Abzweig Prahljust	Clausthal-Zellerfeld, Abzweig Prahljust	LINESTRING(10.394325 51.79057,10.394268100000001 51.790508)
