	Ortsteil	Haltestelle	globaleID	lat	lon	mode	match_state	osm_id	distance	rating	osm_name	routes	official_direction	osm_direction	WKT
0	Altena	ALDI	de:05962:2565:0:1	51.303208	7.6658	bus	MATCHED_THOUGH_NAMES_DIFFER	n11307987257	86.3	1.0	Aldi	BBus Altena 1,BBus Altena 2,BBus Altena 3	Altena, Am Markaner ZOB / Altena, Lüling	Am Markaner ZOB / Lüling / Altena Bahnhof	LINESTRING(7.6658 51.303208,7.6650818 51.303840300000005)
1	Altena	ALDI	de:05962:2565:0:2	51.303253	7.665747		NO_MATCH_AND_SEEMS_UNSERVED								POINT(7.665747 51.303253)
2	Altena	Abzw. Bergfeld	de:05962:2422:0:1	51.264327	7.685132	bus	NO_MATCH					237	Altena, Hemecke Spielplatz		POINT(7.685132 51.264327)
3	Altena	Abzw. Bergfeld	de:05962:2422:0:2	51.264406	7.684737	bus	NO_MATCH					237	Altena, Abzw. Horst		POINT(7.684737 51.264406)
4	Altena	Abzw. Brenge	de:05962:2419:0:1	51.242147	7.689004	bus	MATCHED	n1243877454	76.8	1.0	Abzweig Brenge	237,43	Altena, Mühlenrahmede / Lüd., Gockeshohl / Lüd., Brunscheid	Brunscheid / Gockeshohl	LINESTRING(7.689004 51.242147,7.6883939 51.242721100000004)
5	Altena	Abzw. Brenge	de:05962:2419:0:2	51.242248	7.689085	bus	MATCHED	n1243877463	12.4	1.0	Abzweig Brenge	237,43	Altena (Westf), Gerhardi Rosmart / Altena (Westf), IPF Rosmart / Altena, Rosmart	IPF Rosmart / Rosmart	LINESTRING(7.689085 51.242248,7.689256200000001 51.2422782)
6	Altena	Abzw. Großendresch. 	de:05962:2428:0:1	51.26965	7.630865	bus	MATCHED	n1978676433	3.0	1.0	Abzweig Großendrescheid	49	Schalksm., Abzw. Sonnensch. / Schalksm., Sonnenscheid	Abzweig Sonnenscheid / Sonnenscheid	LINESTRING(7.630865 51.26965,7.630826000000001 51.2696382)
7	Altena	Abzw. Großendresch. 	de:05962:2428:0:2	51.270426	7.632176	bus	MATCHED	n1978676454	9.8	1.0	Abzweig Großendrescheid	49	Nachrodt, Waldstück	Waldstück	LINESTRING(7.632176 51.270426,7.6321424 51.2703402)
8	Altena	Abzw. Horst	de:05962:2421:0:1	51.252505	7.683587	bus	NO_MATCH					237	Altena, Abzw. Bergfeld		POINT(7.683587 51.252505)
9	Altena	Abzw. Horst	de:05962:2421:0:2	51.25255	7.683497	bus	NO_MATCH					237	Altena, Rosmart		POINT(7.683497 51.25255)
10	Altena	Abzw. Mühlenberg	de:05962:2499:0:1	51.299119	7.751419	bus	MATCHED	n2861743976	1.5	1.0	Abzweig Mühlenberg	35	Altena, Ries / Altena, Wagner	Ries / Wagner	LINESTRING(7.751419 51.299119,7.751427700000001 51.2991314)
11	Altena	Abzw. Mühlenberg	de:05962:2499:0:2	51.299102	7.751383	bus	MATCHED	n7002739580	4.1	1.0	Abzweig Mühlenberg	35	Altena, Hallenbad Dahle	Hallenbad Dahle	LINESTRING(7.751383 51.299102,7.751329200000001 51.299086900000006)
12	Altena	Abzw. Nettenscheid	de:05962:2524:0:1	51.299642	7.698239	bus	MATCHED	n11323254889	12.7	1.0	Abzweig Nettenscheid	260,32,34	Altena, In der Heimecke / Altena, Sammelteich	In der Heimecke	LINESTRING(7.698239 51.299642,7.698091400000001 51.2997091)
13	Altena	Abzw. Nettenscheid	de:05962:2524:0:2	51.299614	7.698346	bus	MATCHED	n11323254888	36.3	1.0	Abzweig Nettenscheid	32,34	Altena, Sammelteich / Altena, Sammelteich	Sammelteich	LINESTRING(7.698346 51.299614,7.698245600000001 51.299933900000006)
14	Altena	Ackerstraße I	de:05962:2528:0:1	51.281822	7.672232	bus	MATCHED	n11311303113	40.9	1.0	Ackerstraße I	BBus Altena 1	Altena, Ackerstraße II	Ackerstraße II	LINESTRING(7.672232 51.281822,7.6718884 51.281524000000005)
15	Altena	Ackerstraße II	de:05962:2529:0:1	51.282626	7.672619	bus	MATCHED	n11311303111	55.7	1.0	Ackerstraße II	BBus Altena 1	Altena, Schule Dresch. Berg	Schule Drescheider Berg	LINESTRING(7.672619 51.282626,7.672373100000001 51.28215)
16	Altena	Altroggenrahmede	de:05962:2415:0:1	51.255265	7.661533	bus	MATCHED	n1975856612	7.9	1.0	Altroggenrahmede	237,37	Altena, Kirchweg	Kirchweg	LINESTRING(7.661533 51.255265,7.661646 51.255261000000004)
17	Altena	Altroggenrahmede	de:05962:2415:0:2	51.25535	7.661381	bus	MATCHED	n1975856616	2.4	1.0	Altroggenrahmede	237,37	Altena, Zum Hohle	Zum Hohle	LINESTRING(7.661381 51.25535,7.6614111000000005 51.2553393)
18	Altena	Am Halse	de:05962:2402:0:1	51.306185	7.663653		MATCHED	n1975883118	6.8	1.0	Am Halse			Tiergarten / Stadtwerke / Am Hünengrab / Knerling	LINESTRING(7.663653 51.306185,7.6637098 51.3062343)
19	Altena	Am Halse	de:05962:2402:0:2	51.305629	7.663662		MATCHED	n1975883122	5.2	1.0	Am Halse			Altena Bahnhof	LINESTRING(7.663662 51.305629,7.663592700000001 51.3056111)
20	Altena	Am Hünengraben	de:05962:2483:0:1	51.30778	7.661839	bus	MATCHED	n6763934416	25.9	1.0	Am Hünengrab	32,33	Altena, Stadtwerke / Altena, Wixbergstraße	Wixbergstraße / Am Halse	LINESTRING(7.661839 51.30778,7.661673100000001 51.307571900000006)
21	Altena	Am Hünengraben	de:05962:2483:0:2	51.307813	7.66183	bus	MATCHED	n6763934415	15.2	1.0	Am Hünengrab	32,33	Altena, Sportplatz	Sportplatz	LINESTRING(7.66183 51.307813,7.661662300000001 51.307725600000005)
22	Altena	Am Knerling	de:05962:2457:0:1	51.305741	7.656126	bus	MATCHED	n1975883119	8.0	1.0	Am Knerling	30,BBus Nachrodt 2	Altena, Knerling / Nachrodt, Wiesenstraße / Altena, Eichendorffstr.	Eichendorffstraße / Wiesenstraße	LINESTRING(7.656126 51.305741,7.656240400000001 51.3057334)
