	Ortsteil	Haltestelle	globaleID	lat	lon	mode	match_state	osm_id	distance	rating	osm_name	routes	official_direction	osm_direction	WKT
0	Abzw. Walchsing	Apostelbrücke	de:09275:16000:0:1	48.603586	13.06834		NO_MATCH_AND_SEEMS_UNSERVED								POINT(13.06834 48.603586)
1	Abzw. Walchsing	Apostelbrücke	de:09275:16000:0:2	48.603634	13.068295		NO_MATCH_AND_SEEMS_UNSERVED								POINT(13.068295 48.603634)
2	Adlmörting	Wh	de:09275:16140:0:1	48.479223	13.222842	bus	NO_MATCH					8576	Birchau, Wh / Reutern, Gh Lorenz		POINT(13.222842 48.479223)
3	Afham bei Ortenburg	Bauhof	de:09275:9380:0:1	48.53653	13.216185	bus	MATCHED	n9171613554	8.2	1.0	Afham bei Ortenburg, Bauhof	7575	Kamm		LINESTRING(13.216185 48.53653,13.2162255 48.536599)
4	Afham bei Ortenburg	Bauhof	de:09275:9380:0:2	48.536607	13.216131	bus	MATCHED	n9171613553	3.2	1.0	Afham bei Ortenburg, Bauhof	7575	Afham bei Ortenburg		LINESTRING(13.216131 48.536607,13.216091400000002 48.536619400000006)
5	Aicha v. W.	Abzw Haselbach	de:09275:5574:0:1	48.677785	13.299953	bus	MATCHED	n6587077049	15.4	1.0	Aicha v.W., Abzw. Haselbach	6120,6129,6138,6167,6176,8129	Renholding, Gh zur Mauth / Wiening / Arbing bei Aicha v. W. / Weferting	Renholding, Gh zur Mauth	LINESTRING(13.299953 48.677785,13.2998702 48.677658)
6	Aicha v. W.	Abzw Haselbach	de:09275:5574:0:2	48.677785	13.299755	bus	MATCHED	n956364513	26.9	1.0	Aicha v.W., Abzw. Haselbach	6120,6129,6138,6176,8129	Aicha v.W., Vilshofener Str. / Aicha v.W., Gemeinde / Aicha v.W., Schloßbreite		LINESTRING(13.299755 48.677785,13.299566800000001 48.677578100000005)
7	Aicha v. W.	Bruck	de:09275:16087:0:1	48.683734	13.28611	bus	NO_MATCH					8129,8520	Aicha v.W., Schloßbreite / Klingermühle / Wollmering		POINT(13.28611 48.683734)
8	Aicha v. W.	Gemeinde	de:09275:4183:0:1	48.672482	13.288562	bus	MATCHED	n9379019725	14.9	1.0	Aicha v.W., Gemeinde	6120,6129,6138,8129,8520	Klingermühle / Eging, Wiesenweg / Aicha v.W., Marktplatz / Aicha v.W., Vilshofener Str.		LINESTRING(13.288562 48.672482,13.288747200000001 48.672428200000006)
9	Aicha v. W.	Gemeinde	de:09275:4183:0:2	48.672488	13.288787	bus	MATCHED	n9379019724	9.0	1.0	Aicha v.W., Gemeinde	6120,6129,6138	Klingermühle		LINESTRING(13.288787 48.672488,13.2889093 48.6724832)
10	Aicha v. W.	Marktplatz	de:09275:4550:0:1	48.671877	13.291644	bus	MATCHED	n9379033061	5.4	1.0	Aicha v.W., Marktplatz	6120,6129,6138,8129,8520	Aicha v.W., Gemeinde / Aicha v.W., Gemeinde / Aicha v.W., Abzw Haselbach		LINESTRING(13.291644 48.671877,13.2915726 48.671887600000005)
11	Aicha v. W.	Marktplatz	de:09275:4550:0:2	48.671811	13.291554	bus	MATCHED	n9379033060	3.9	1.0	Aicha v.W., Marktplatz	6120,6129,6138,8129,8520	Aicha v.W., Schloßbreite / Aicha v.W., Vilshofener Str. / Aicha v.W., Vilshofener Str. / Fürstenstein, Rathaus		LINESTRING(13.291554 48.671811,13.291584400000001 48.671839500000004)
12	Aicha v. W.	Schloßbreite	de:09275:5996:0:1	48.672927	13.296656	bus	MATCHED	n6587077050	8.9	1.0	Aicha v.W., Schloßbreite	6120,6129,6138,8129,8520	Aicha v.W., Gemeinde / Aicha v.W., Marktplatz / Aicha v.W., Vilshofener Str. / Aicha v.W., Vilshofener Str. / Silling, Abzw		LINESTRING(13.296656 48.672927,13.2965657 48.6729805)
13	Aicha v. W.	Schloßbreite	de:09275:5996:0:2	48.67311	13.296845	bus	MATCHED	n6587077051	8.1	1.0	Aicha v.W., Schloßbreite	6120,6129,6138,8129,8520	Aicha v.W., Abzw Haselbach / Aicha v.W., Bruck	Aicha v.W., Abzw. Haselbach	LINESTRING(13.296845 48.67311,13.2967615 48.673062800000004)
14	Aicha v. W.	Vilshofener Str. 	de:09275:4594:0:1	48.67142	13.29238	bus	MATCHED	n6587077055	5.0	1.0	Aicha v.W., Vilshofener Str.	6120,6129,6138,6167,8129,8167,8520	Niederham bei Aicha v. W. / Aicha v.W., Marktplatz / Silling, Abzw / Aicha v.W., Schloßbreite		LINESTRING(13.29238 48.67142,13.292315700000001 48.6714058)
15	Aicha v. W.	Vilshofener Str. 	de:09275:4594:0:2	48.67136	13.292506	bus	MATCHED	n6587077054	22.6	1.0	Aicha v.W., Vilshofener Str.	6120,6129,6138,6167,8129,8167,8520	Aicha v.W., Marktplatz / Aicha v.W., Schloßbreite / Aicha v.W., Abzw Haselbach / Höbersdorf	Niederham b.Aicha v. W. / Silling / Aicha v.W., Schloßbreite	LINESTRING(13.292506 48.67136,13.292426 48.671555700000006)
16	Aicha vorm Wald	Arbing bei Aicha v. W. 	de:09275:5275:0:1	48.676966	13.304472	bus	MATCHED	n9901983142	135.5	1.0	Arbing bei Aicha v. W.	6129,6176,8129	Renholding, Gh zur Mauth / Edt bei Aicha v.W. / Weferting / Weferting		LINESTRING(13.304472 48.676966,13.302728100000001 48.6773516)
17	Aicha vorm Wald	Arbing bei Aicha v. W. 	de:09275:5275:0:2	48.677275	13.30281	bus	MATCHED	n9901983141	136.3	1.0	Arbing bei Aicha v. W.	6129,6176,8129	Aicha v.W., Abzw Haselbach		LINESTRING(13.30281 48.677275,13.304568100000001 48.6768956)
18	Aicha vorm Wald	Edt bei Aicha v. W. 	de:09275:8180:0:1	48.68161	13.33337	bus	MATCHED	n9853662985	28.5	1.0	Edt bei Aicha v.W.	6176,8129	Minsing / Minsing		LINESTRING(13.33337 48.68161,13.3329982 48.681681700000006)
19	Aicha vorm Wald	Edt bei Aicha v. W. 	de:09275:8180:0:2	48.681628	13.333559	bus	MATCHED	n9853662984	10.9	1.0	Edt bei Aicha v.W.	6176,8129	Arbing bei Aicha v. W. / Weferting		LINESTRING(13.333559 48.681628,13.3334179 48.6815998)
20	Aicha vorm Wald	Klingermühle	de:09275:4527:0:1	48.679362	13.278591	bus	MATCHED	n9867678399	11.2	1.0	Klingermühle	6120,6129,6138,8129,8520	Fickenhof, Abzw		LINESTRING(13.278591 48.679362,13.278527200000001 48.679453)
21	Aicha vorm Wald	Klingermühle	de:09275:4527:0:2	48.679351	13.27851	bus	MATCHED	n9867678398	4.3	1.0	Klingermühle	6120,6129,6138,8129,8520	Aicha v.W., Gemeinde / Aicha v.W., Bruck		LINESTRING(13.27851 48.679351,13.2784521 48.6793458)
