	Ortsteil	Haltestelle	globaleID	lat	lon	mode	match_state	osm_id	distance	rating	osm_name	routes	official_direction	osm_direction	WKT
0	Ahrensdorf (LOS)	Dorf	de:12067:900310700::1	52.175078	14.076092	bus	MATCHED	n10858150243	2.2	0.82	Ahrensdorf, Dorf	405,409,456	Lindenberg (Mark), Schule / Ahrensdorf (LOS), Premsdorfer Str. / Behrensdorf / Möllendorf, Kreuzung		LINESTRING(14.076092 52.175078,14.076093700000001 52.1750581)
1	Ahrensdorf (LOS)	Dorf	de:12067:900310700::2	52.174831	14.076604		MATCHED	w1461907889	7.3	0.56	Ahrensdorf, Dorf				LINESTRING(14.076604 52.174831,14.076668100000001 52.174778450000005)
2	Ahrensdorf (LOS)	Premsdorfer Str. 	de:12067:900310701::1	52.171405	14.074691	bus	MATCHED	w1427591937	11.4	0.59	Ahrensdorf, Premsdorfer Straße	405,409	Falkenberg (bei Beeskow), Dorf / Premsdorf	Premsdorf	LINESTRING(14.074691 52.171405,14.074619650000002 52.1714971)
3	Ahrensdorf (LOS)	Premsdorfer Str. 	de:12067:900310701::2	52.171475	14.074708	bus	MATCHED	w1427591936	4.8	0.57	Ahrensdorf, Premsdorfer Straße	405,409	Ahrensdorf (LOS), Dorf		LINESTRING(14.074708 52.171475,14.0746903 52.17151675)
4	Alt Golm	Deponie	de:12067:900310915::1	52.31722	14.117123	bus	NO_MATCH_BUT_OTHER_PLATFORM_MATCHED					403,440,441	Alt Golm (LOS), Dorf / Alt Golm (LOS), B168		POINT(14.117123 52.31722)
5	Alt Golm	Deponie	de:12067:900310915::2	52.316734	14.117847	bus	MATCHED	n1007070519	37.9	0.27	Alt Golm, Deponie	403,440,441	Langewahl, Gemeinde	Alt Golm B168 / Langewahl, Gemeinde	LINESTRING(14.117847 52.316734,14.118048900000002 52.316417200000004)
6	Alt Golm (LOS)	B168	de:12067:900310703::3	52.305552	14.128973	bus	MATCHED	n3758609761	2.6	0.8	Alt Golm B168	403,440	Alt Golm, Deponie	Kunersdorf / Alt Golm, Deponie	LINESTRING(14.128973 52.305552,14.1289411 52.305539100000004)
7	Alt Golm (LOS)	B168	de:12067:900310703::4	52.305763	14.128674	bus	MATCHED	n12529156807	5.9	0.77	Alt Golm B168	403,440,441	Kunersdorf (LOS) / Wilmersdorf (bei Pfaffendorf), Am Dorfteich	Alt Golm (LOS) / Kunersdorf	LINESTRING(14.128674 52.305763,14.128660600000002 52.305815300000006)
8	Alt Golm (LOS)	Dorf	de:12067:900310703::1	52.304299	14.124571	bus	MATCHED	n6371871539	3.5	0.7	Alt Golm (LOS)	441	Neu Golm, Ausbau	Neu Golm, Ausbau	LINESTRING(14.124571 52.304299,14.124549600000002 52.304270800000005)
9	Alt Golm (LOS)	Dorf	de:12067:900310703::2	52.304238	14.125295	bus	MATCHED	n6371871540	3.2	0.71	Alt Golm (LOS)	441	Alt Golm, Deponie	Alt Golm, Deponie	LINESTRING(14.125295 52.304238,14.1252749 52.3042637)
