	Ortsteil	Haltestelle	globaleID	lat	lon	mode	match_state	osm_id	distance	rating	osm_name	routes	official_direction	osm_direction	WKT
0	Bad Soden am Taunus	Bad Soden (Taunus) Alleestraße Nr. 22	de:06436:31423:1:1	50.14042	8.500101	bus	MATCHED	n3084337438	4.5	0.62	Alleestraße 22	812,828	Bad Soden (Taunus) Martin-Luther-Weg / Bad Soden (Taunus) Niederhofheimer Straße	Niederhofheimer Straße / Martin-Luther-Weg	LINESTRING(8.500101 50.14042,8.5001598 50.140433800000004)
1	Bad Soden am Taunus	Bad Soden (Taunus) Alleestraße/Kindergarten	de:06436:31432:1:1	50.140403	8.500255	bus	MATCHED	n1699206924	8.4	0.64	Alleestraße/Kindergarten	812	Bad Soden (Taunus) Bahnhof	Bad Soden Bahnhof	LINESTRING(8.500255 50.140403,8.500373100000001 50.1404033)
2	Bad Soden am Taunus	Bad Soden (Taunus) Am Carlusbaum	de:06436:2052:1:1	50.135499	8.497383	bus	MATCHED	n1510600452	3.1	0.53	Am Carlusbaum	812	Bad Soden (Taunus) Falkenstraße	Falkenstraße	LINESTRING(8.497383 50.135499,8.4974269 50.135499800000005)
3	Bad Soden am Taunus	Bad Soden (Taunus) Am Carlusbaum	de:06436:2052:2:2	50.135544	8.497326	bus	MATCHED	n3086283989	1.8	0.58	Am Carlusbaum	812	Bad Soden (Taunus) Am Wasserturm	Am Wasserturm	LINESTRING(8.497326 50.135544,8.4973004 50.135545400000005)
4	Bad Soden am Taunus	Bad Soden (Taunus) Am Eichwald	de:06436:4289:1:1	50.147157	8.507264	bus	MATCHED	n1699212856	5.7	0.65	Am Eichwald	260,803,806,811,812	Bad Soden (Taunus) Kreiskrankenhaus	Kreiskrankenhaus	LINESTRING(8.507264 50.147157,8.507190000000001 50.147138000000005)
5	Bad Soden am Taunus	Bad Soden (Taunus) Am Eichwald	de:06436:4289:2:2	50.147283	8.507235	bus	MATCHED	n4748718670	6.3	0.63	Am Eichwald	260,803,806,811,812	Bad Soden (Taunus) Paulinenschlößchen / Bad Soden (Taunus) Paulinenschlößchen	Paulinenschlößchen	LINESTRING(8.507235 50.147283,8.5071794 50.147239400000004)
6	Bad Soden am Taunus	Bad Soden (Taunus) Am Schwimmbad	de:06436:31420:1:1	50.142088	8.486808	bus	MATCHED	n3086284445	0.8	0.8	Am Schwimmbad	828	Bad Soden (Taunus) Sperberstraße/Finkenweg	Sperberstraße/Finkenweg	LINESTRING(8.486808 50.142088,8.4868159 50.1420936)
7	Bad Soden am Taunus	Bad Soden (Taunus) Am Wasserturm	de:06436:2141:1:1	50.133446	8.494397	bus	MATCHED	n1699203060	0.8	0.65	Am Wasserturm	812	Bad Soden (Taunus) Am Carlusbaum	Am Carlusbaum	LINESTRING(8.494397 50.133446,8.4944 50.133439)
8	Bad Soden am Taunus	Bad Soden (Taunus) Am Wasserturm	de:06436:2141:2:2	50.133454	8.494173	bus	MATCHED	n3086283990	1.2	0.63	Am Wasserturm	812	Liederbach (Taunus)-Niederhofheim Heidesiedlung	Heidesiedlung	LINESTRING(8.494173 50.133454,8.4941666 50.133464200000006)
9	Bad Soden am Taunus	Bad Soden (Taunus) Bahnhof	de:06436:4299:1:1	50.142767	8.504455	train	MATCHED	n4487297014	37.7	0.24	Bad Soden	S3	Sulzbach (Taunus) Nordbahnhof		LINESTRING(8.504455 50.142767,8.504170400000001 50.143052000000004)
10	Bad Soden am Taunus	Bad Soden (Taunus) Bahnhof	de:06436:4299:1:2	50.142857	8.504552	train	MATCHED	n4467772349	33.6	0.26	Bad Soden	S3	Sulzbach (Taunus) Nordbahnhof	Sulzbach Nord	LINESTRING(8.504552 50.142857,8.504275 50.1431017)
11	Bad Soden am Taunus	Bad Soden (Taunus) Bahnhof	de:06436:4299:2:4	50.143055	8.503836	bus	MATCHED	n13070112803	6.7	0.66	Bad Soden Bahnhof	253,S3N,X11	Sulzbach (Taunus) Nordbahnhof / Bad Soden (Taunus) Kurpark / Bad Soden (Taunus) Richard-Wagner-Straße / Bad Soden (Taunus)-Neuenhain Sandwiese	Richard-Wagner-Straße / Kurpark	LINESTRING(8.503836 50.143055,8.5038125 50.1429964)
