	Ortsteil	Haltestelle	globaleID	lat	lon	mode	match_state	osm_id	distance	rating	osm_name	routes	official_direction	osm_direction	WKT
0	Allendorf	Allendorf	de:16073:2812051::281205100	50.655557	11.157277	bus	NO_MATCH_BUT_OTHER_PLATFORM_MATCHED					330	Aschau		POINT(11.157277 50.655557)
1	Allendorf	Allendorf	de:16073:2812051::281205101	50.655509	11.157647	bus	NO_MATCH_BUT_OTHER_PLATFORM_MATCHED					330,333	Bechstedt (b. Königsee)		POINT(11.157647 50.655509)
2	Allendorf	Allendorf	de:16073:2812051::281205102	50.655481	11.1582	bus	MATCHED	n1765433334	84.3	0.32	Allendorf	330,333	Fasanerie / Unterhain	Unterhain	LINESTRING(11.1582 50.655481,11.1586347 50.6547756)
3	Allendorf	Allendorf	de:16073:2812051::281205103	50.65549	11.15824	bus	NO_MATCH_BUT_OTHER_PLATFORM_MATCHED					330,333	Aschau / Unterköditz		POINT(11.15824 50.65549)
4	Allendorf	Allendorf	de:16073:2812051::281205104	50.652792	11.158504		NO_MATCH_AND_SEEMS_UNSERVED								POINT(11.158504 50.652792)
5	Allendorf	Allendorf	de:16073:2812051::281205105	50.652773	11.158903		NO_MATCH_AND_SEEMS_UNSERVED								POINT(11.158903 50.652773)
6	Allendorf	Allendorf	de:16073:2812051::281205106	50.656036	11.158025		NO_MATCH_AND_SEEMS_UNSERVED								POINT(11.158025 50.656036)
7	Allendorf	Aschau	de:16073:2812041	50.655654	11.132505		MATCHED_THOUGH_OSM_NO_NAME	n1765433335	6.2	0.19					LINESTRING(11.132505 50.655654,11.1325914 50.6556616)
8	Allendorf	Fasanerie	de:16073:2812061::281206100	50.64436	11.1659	bus	NO_MATCH_BUT_OTHER_PLATFORM_MATCHED					333	Schwarzburg, Rondell		POINT(11.1659 50.64436)
9	Allendorf	Fasanerie	de:16073:2812061::281206101	50.64439	11.16591	bus	MATCHED	n8561170249	1.9	0.83	Fasanerie	333	Allendorf	Barigauer Turm	LINESTRING(11.16591 50.64439,11.1658921 50.6444033)
10	Allersdorf	Abzweig	de:16073:2812151::281215100	50.62196	11.06877	bus	NO_MATCH_BUT_OTHER_PLATFORM_MATCHED					331	Zirkel		POINT(11.06877 50.62196)
11	Allersdorf	Abzweig	de:16073:2812151::281215101	50.62244	11.06868	bus	MATCHED	n1772916658	22.2	0.38	Allersdorf, Abzweig	331	Herschdorf (Langer Berg)		LINESTRING(11.06868 50.62244,11.0684024 50.6225333)
12	Allersdorf	Abzweig	de:16073:2812151::281215102	50.622374	11.068578	bus	MATCHED	n609239709	16.8	0.44	Allersdorf, Abzweig	331	Dröbischau, Denkmal		LINESTRING(11.068578 50.622374,11.0683772 50.6224551)
13	Altenbeuthen	Abzweig	de:16073:2821621	50.58407	11.590515		NO_MATCH_AND_SEEMS_UNSERVED								POINT(11.590515 50.58407)
14	Altenbeuthen	Altenbeuthen	de:16073:2815611	50.59144	11.600431		MATCHED	w241073325	38.7	0.21	Altenbeuthen			Ziegenrück, Friedhof / Drognitz	LINESTRING(11.600431 50.59144,11.600667889991161 50.59175387852498)
15	Altenbeuthen	Altenroth	de:16073:2815851	50.602015	11.603255		NO_MATCH_AND_SEEMS_UNSERVED								POINT(11.603255 50.602015)
16	Altenbeuthen	Neuenbeuthen Jugendherberge	de:16073:2816361	50.580405	11.583091		MATCHED	n12791642870	8.9	0.52	Neuenbeuthen Jugendherberge			Neuenbeuthen Ort	LINESTRING(11.583091 50.580405,11.5831227 50.580328)
17	Ammelstädt	Gewerbegebiet	de:16073:2813891	50.74155	11.31843		NO_MATCH_AND_SEEMS_UNSERVED								POINT(11.31843 50.74155)
18	Aue am Berg	Abzweig	de:16073:2814751::281475100	50.66058	11.30984	bus	MATCHED	n1516925159	17.2	0.59	Aue am Berg, Abzweig	S2	Unterwirbach	Unterwirbach	LINESTRING(11.30984 50.66058,11.3100722 50.6605326)
19	Aue am Berg	Abzweig	de:16073:2814751::281475101	50.66029	11.3103	bus	MATCHED	n1516925139	19.8	0.4	Aue am Berg, Abzweig	227,S2	Beulwitz, Gewerbegebiet		LINESTRING(11.3103 50.66029,11.310037600000001 50.6603514)
20	Aue am Berg	Ort	de:16073:2814761	50.6645	11.31393		MATCHED_AMBIGUOUSLY	n1338210788	10.3	0.48	Aue am Berg, Ort				LINESTRING(11.31393 50.6645,11.3138302 50.664567000000005)
21	Aue am Berg	Ort	de:16073:2814761	50.6645	11.31393		MATCHED_AMBIGUOUSLY	n12766429076	8.4	0.53	Aue am Berg, Ort			Wöhlsdorf/SLF	LINESTRING(11.31393 50.6645,11.313819 50.664472800000006)
22	Bad Blankenburg	(Thüringer Wald)	de:16073:8010014:801001400:801001450	50.682622	11.275307	trainish	MATCHED	n1627500562	12.9	0.52	Bad Blankenburg (Thüringerw)			Rottenbach / Saalfeld (Saale)	LINESTRING(11.275307 50.682622,11.275136600000002 50.6825811)
23	Bad Blankenburg	(Thüringer Wald)	de:16073:8010014:801001401:801001451	50.682558	11.275489	trainish	MATCHED	n1627500812	24.1	0.38	Bad Blankenburg (Thüringerw)				LINESTRING(11.275489 50.682558,11.2751496 50.682542000000005)
24	Bad Blankenburg	Bahnhof	de:16073:2810441::281044100	50.682908	11.274278	bus	MATCHED	n8908147449	0.1	0.97	Bad Blankenburg, Bahnhof	215,217,218,227,302,S2	Bad Blankenburg, Gewerbegebiet Rudolstädter Straße / Bad Blankenburg, Bähringstraße / Bad Blankenburg, Gewerbegebiet Bahnhofstraße	Bad Blankenburg Gewerbegebiet, Rudolstädter Straße	LINESTRING(11.274278 50.682908,11.274278500000001 50.682908700000006)
25	Bad Blankenburg	Bahnhof	de:16073:2810441::281044101	50.682908	11.27426	bus	NO_MATCH_AND_SEEMS_UNSERVED								POINT(11.27426 50.682908)
26	Bad Blankenburg	Bähringstraße	de:16073:2819541::281954100	50.682881	11.26619	bus	MATCHED	n1519490296	18.2	0.42	Bad Blankenburg, Bähringstraße	217,218	Bad Blankenburg, Stadtmühle / Bad Blankenburg, Sportschule / Bad Blankenburg, Siedlung / Bad Blankenburg, Bahnhof	Bad Blankenburg, Stadtmühle / Siedlung/REWE	LINESTRING(11.26619 50.682881,11.265982600000001 50.682977300000005)
27	Bad Blankenburg	Böhlscheiben	de:16073:2811741	50.674	11.235271		MATCHED	n807892790	10.6	0.48	Böhlscheiben			Cordobang	LINESTRING(11.235271 50.674,11.2351551 50.673939700000005)
28	Bad Blankenburg	Chrysopras-Wehr	de:16073:2819771::281977100	50.673081	11.264369	bus	MATCHED	n9388243213	138.8	0.25	Chrysopras-Wehr	302	Bad Blankenburg, Waidmannsheil	Waidmannsheil	LINESTRING(11.264369 50.673081,11.2660067 50.673769500000006)
29	Bad Blankenburg	Chrysopras-Wehr	de:16073:2819771::281977101	50.673741	11.266215	bus	MATCHED	n808586218	9.5	0.7	Chrysopras-Wehr	302	Bad Blankenburg, Schwarzburger Straße	Bad Blankenburg Schwarzburger Straße	LINESTRING(11.266215 50.673741,11.266086000000001 50.6737181)
30	Bad Blankenburg	Cordobang	de:16073:2811731	50.670436	11.20717		MATCHED_AMBIGUOUSLY	n8946653478	38.2	0.21	Cordobang			Böhlscheiben	LINESTRING(11.20717 50.670436,11.2066832 50.670286000000004)
31	Bad Blankenburg	Cordobang	de:16073:2811731	50.670436	11.20717		MATCHED_AMBIGUOUSLY	n807893187	10.3	0.48	Cordobang			Fröbitz	LINESTRING(11.20717 50.670436,11.207064500000001 50.670499500000005)
32	Bad Blankenburg	Fröbitz	de:16073:2811721	50.678767	11.197754		MATCHED_AMBIGUOUSLY	n807893113	41.9	0.2	Fröbitz				LINESTRING(11.197754 50.678767,11.198072900000001 50.67908490000001)
33	Bad Blankenburg	Fröbitz	de:16073:2811721	50.678767	11.197754		MATCHED_AMBIGUOUSLY	n1064250879	29.1	0.26	Fröbitz			Cordobang	LINESTRING(11.197754 50.678767,11.197504700000001 50.678558900000006)
34	Bad Blankenburg	Fröbitz	de:16073:2811721	50.678767	11.197754		MATCHED_AMBIGUOUSLY	n7013714369	19.8	0.33	Fröbitz			Quittelsdorf, Ort	LINESTRING(11.197754 50.678767,11.1976835 50.678594800000006)
35	Bad Blankenburg	Georgstraße 1	de:16073:2810471::281047100	50.6795	11.26818		NO_MATCH_AND_SEEMS_UNSERVED								POINT(11.26818 50.6795)
36	Bad Blankenburg	Georgstraße 2	de:16073:2810482::281048200	50.674509	11.26685		NO_MATCH_AND_SEEMS_UNSERVED								POINT(11.26685 50.674509)
37	Bad Blankenburg	Georgstraße 2	de:16073:2810482::281048201	50.674513	11.266796		NO_MATCH_AND_SEEMS_UNSERVED								POINT(11.266796 50.674513)
38	Bad Blankenburg	Gewerbegebiet Bahnhofstraße	de:16073:2819781::281978100	50.68332	11.276239	bus	MATCHED	n8908147446	4.7	0.8	Bad Blankenburg, Gewerbegebiet Bahnhofstraße	215,217,218,227,302,S2	Bad Blankenburg, Stadtmühle / Bad Blankenburg, Sportschule / Bad Blankenburg, Schwarzburger Straße / Bad Blankenburg, Bähringstraße / Bad Blankenburg, Sportschule	Bad Blankenburg, Stadtmühle / Bad Blankenburg, Bähringstraße / Bad Blankenburg Schwarzburger Straße / Sportschule	LINESTRING(11.276239 50.68332,11.2762515 50.6833619)
39	Bad Blankenburg	Gewerbegebiet Rudolstädter Straße	de:16073:2810431::281043100	50.68428	11.286911	bus	MATCHED	n501956545	17.8	0.58	Bad Blankenburg Gewerbegebiet, Rudolstädter Straße	215,217,227,302,S2	Bad Blankenburg, Gewerbegebiet Bahnhofstraße	Bad Blankenburg, Stadtmühle / Bad Blankenburg, Gewerbegebiet Bahnhofstraße	LINESTRING(11.286911 50.68428,11.287130300000001 50.68435830000001)
40	Bad Blankenburg	Gewerbegebiet Rudolstädter Straße	de:16073:2810431::281043101	50.68431	11.28749	bus	MATCHED	n501956549	15.0	0.62	Bad Blankenburg Gewerbegebiet, Rudolstädter Straße	215,217,227,302,S2	Schwarza, Dreiklang/Milchhof	Schwarza, Milchhof	LINESTRING(11.28749 50.68431,11.2873029 50.6842465)
41	Bad Blankenburg	Großgölitz	de:16073:2811651	50.70518	11.22266		MATCHED_AMBIGUOUSLY	n663425084	9.9	0.49	Großgölitz				LINESTRING(11.22266 50.70518,11.222573800000001 50.705249900000005)
42	Bad Blankenburg	Großgölitz	de:16073:2811651	50.70518	11.22266		MATCHED_AMBIGUOUSLY	n9748881679	4.9	0.65	Großgölitz				LINESTRING(11.22266 50.70518,11.222728700000001 50.7051717)
43	Bad Blankenburg	Kleingölitz	de:16073:2811641	50.698886	11.249742		MATCHED_AMBIGUOUSLY	n1311768043	59.8	0.15	Kleingölitz				LINESTRING(11.249742 50.698886,11.2493274 50.6993543)
44	Bad Blankenburg	Kleingölitz	de:16073:2811641	50.698886	11.249742		MATCHED_AMBIGUOUSLY	n1311768036	56.2	0.16	Kleingölitz				LINESTRING(11.249742 50.698886,11.249161 50.6992307)
45	Bad Blankenburg	Kleingölitz	de:16073:2811641	50.698886	11.249742		MATCHED_AMBIGUOUSLY	n410206004	105.9	0.09	Kleingölitz				LINESTRING(11.249742 50.698886,11.2484029 50.6993145)
46	Bad Blankenburg	Kleingölitz	de:16073:2811641	50.698886	11.249742		MATCHED_AMBIGUOUSLY	n410206005	94.1	0.1	Kleingölitz				LINESTRING(11.249742 50.698886,11.248583700000001 50.699304500000004)
47	Bad Blankenburg	Schwarzburger Straße	de:16073:2820381::282038100	50.67906	11.27074	bus	MATCHED	n6255623056	9.0	0.71	Bad Blankenburg Schwarzburger Straße	302	Bad Blankenburg, Bahnhof	Bad Blankenburg, Bahnhof	LINESTRING(11.27074 50.67906,11.2707925 50.679134100000006)
48	Bad Blankenburg	Schwarzburger Straße	de:16073:2820381::282038101	50.67905	11.270666	bus	MATCHED	n8525262378	36.3	0.45	Bad Blankenburg Schwarzburger Straße	302	Bad Blankenburg, Chrysopras-Wehr	Chrysopras-Wehr / Waidmannsheil	LINESTRING(11.270666 50.67905,11.270555 50.678731500000005)
49	Bad Blankenburg	Siedlung	de:16073:2810491::281049100	50.67976	11.27763		NO_MATCH_AND_SEEMS_UNSERVED								POINT(11.27763 50.67976)
50	Bad Blankenburg	Siedlung	de:16073:2810491::281049101	50.67987	11.27571		MATCHED	n491306686	11.3	0.31	Siedlung/REWE			Bad Blankenburg, Bahnhof / Sportschule	LINESTRING(11.27571 50.67987,11.275578600000001 50.6799283)
51	Bad Blankenburg	Siedlung	de:16073:2810491::281049102	50.67987	11.27571	bus	NO_MATCH_BUT_OTHER_PLATFORM_MATCHED					217,218,S2	Bad Blankenburg, Sportschule / Bad Blankenburg, Bähringstraße / Bad Blankenburg, Sportschule / Bad Blankenburg, Bahnhof		POINT(11.27571 50.67987)
52	Bad Blankenburg	Siedlung	de:16073:2873004	50.67987	11.27571		NO_MATCH_AND_SEEMS_UNSERVED								POINT(11.27571 50.67987)
53	Bad Blankenburg	Siedlung	de:16073:2873004::287300400	50.67987	11.27571		NO_MATCH_AND_SEEMS_UNSERVED								POINT(11.27571 50.67987)
54	Bad Blankenburg	Sportschule	de:16073:2810501	50.678004	11.275383		MATCHED	n535305727	35.8	0.22	Sportschule			Unterwirbach, Seehügel / Siedlung/REWE	LINESTRING(11.275383 50.678004,11.275034000000002 50.678237700000004)
55	Bad Blankenburg	Stadtmühle	de:16073:2810451::281045100	50.68396	11.26164	bus	MATCHED	n8908147451	5.4	0.78	Bad Blankenburg, Stadtmühle	215,218	Bad Blankenburg, Tankstelle	Bad Blankenburg, Tankstelle	LINESTRING(11.26164 50.68396,11.2616758 50.684003100000005)
56	Bad Blankenburg	Stadtmühle	de:16073:2810451::281045101	50.68393	11.26147	bus	MATCHED	n8908147450	7.2	0.74	Bad Blankenburg, Stadtmühle	215,218	Bad Blankenburg, Bahnhof / Bad Blankenburg, Bähringstraße	Bad Blankenburg, Bahnhof / Bad Blankenburg, Bähringstraße	LINESTRING(11.26147 50.68393,11.261406200000001 50.68388)
57	Bad Blankenburg	Tankstelle	de:16073:2810461	50.686081	11.253845		MATCHED_AMBIGUOUSLY	n501956755	7.5	0.56	Bad Blankenburg, Tankstelle			Bad Blankenburg, Stadtmühle	LINESTRING(11.253845 50.686081,11.253750700000001 50.6860495)
58	Bad Blankenburg	Tankstelle	de:16073:2810461	50.686081	11.253845		MATCHED_AMBIGUOUSLY	n501956751	11.1	0.46	Bad Blankenburg, Tankstelle			Watzdorf	LINESTRING(11.253845 50.686081,11.2537429 50.6861571)
59	Bad Blankenburg	Waidmannsheil	de:16073:2811751::281175100	50.670515	11.256905	bus	MATCHED	n6140215203	5.6	0.78	Waidmannsheil	302	Bad Blankenburg, Chrysopras-Wehr	Chrysopras-Wehr	LINESTRING(11.256905 50.670515,11.256844200000002 50.6704822)
60	Bad Blankenburg	Waidmannsheil	de:16073:2811751::281175101	50.670379	11.25675	bus	MATCHED	n6140215202	9.3	0.7	Waidmannsheil	302	Schwarza, Naturstation	Naturstation / Schweizerhaus	LINESTRING(11.25675 50.670379,11.256628800000001 50.6704104)
61	Bad Blankenburg	Watzdorf	de:16073:2810511	50.691671	11.237295		MATCHED_AMBIGUOUSLY	n663425080	81.3	0.11	Watzdorf			Bad Blankenburg, Tankstelle	LINESTRING(11.237295 50.691671,11.23808 50.691136900000004)
62	Bad Blankenburg	Watzdorf	de:16073:2810511	50.691671	11.237295		MATCHED_AMBIGUOUSLY	n797467736	81.2	0.11	Watzdorf			Großgölitz / Leutnitz, Ort / Leutnitz, B 88	LINESTRING(11.237295 50.691671,11.2364806 50.6921862)
63	Bad Blankenburg	Zeigerheim	de:16073:2811551::281155100	50.70167	11.29999	bus	MATCHED	n5167164018	3.8	0.74	Zeigerheim	126	Zeigerheim, Wasserwerk / Volkstedt-West (Rudolstadt), Corrensring II	Corrensring 2	LINESTRING(11.29999 50.70167,11.299937900000002 50.7016629)
64	Bad Blankenburg	Zeigerheim	de:16073:2811551::281155101	50.691867	11.303652	bus	NO_MATCH_BUT_OTHER_PLATFORM_MATCHED					126	Volkstedt-West (Rudolstadt), Corrensring II / Zeigerheim		POINT(11.303652 50.691867)
65	Bechstedt	(b. Königsee)	de:16073:2812071::281207100	50.661459	11.175862	bus	NO_MATCH					330,333	Fasanerie / Allendorf / Unterhain		POINT(11.175862 50.661459)
66	Bechstedt	Trippstein	de:16073:8011121:801112100:801112150	50.659689	11.168421	trainish	MATCHED	n5583343417	4.5	0.62	Bechstedt-Trippstein			Rottenbach / Schwarzburg	LINESTRING(11.168421 50.659689,11.1683857 50.6597227)
67	Bechstedt	Trippstein (SEV)	de:16073:2873028::287302800	50.65988	11.168365	bus	NO_MATCH_AND_SEEMS_UNSERVED								POINT(11.168365 50.65988)
68	Beulwitz	Gewerbegebiet	de:16073:2814741	50.656635	11.322455		MATCHED_AMBIGUOUSLY	n672759293	22.7	0.31	Beulwitz, Gewerbegebiet			Aue am Berg, Ort / Aue am Berg, Abzweig	LINESTRING(11.322455 50.656635,11.3222649 50.6567993)
69	Beulwitz	Gewerbegebiet	de:16073:2814741	50.656635	11.322455		MATCHED_AMBIGUOUSLY	n1516925185	4.9	0.65	Beulwitz, Gewerbegebiet			Crösten, Abzweig	LINESTRING(11.322455 50.656635,11.322393700000001 50.656615300000006)
70	Birkenheide	Abzweig	de:16073:2819751::281975100	50.63112	11.26064	bus	MATCHED	n12766334933	2.2	0.88	Birkenheide, Abzweig	217	Oberwirbach, Abzweig / Oberwirbach, Ort	Oberwirbach Abzweig	LINESTRING(11.26064 50.63112,11.260608900000001 50.631117200000006)
71	Birkenheide	Abzweig	de:16073:2819751::281975101	50.63019	11.260219	bus	MATCHED	n12766334911	6.8	0.75	Birkenheide, Abzweig	217	Birkenheide	Birkenheide	LINESTRING(11.260219 50.63019,11.260147600000002 50.6302309)
72	Birkigt	Abzweig	de:16073:2815811::281581100	50.664129	11.48866	bus	MATCHED	n1333605221	6.2	0.77	Birkigt Abzweig	944	Lausnitz (b. Pößneck), Abzweig	Lausnitz Abzweig	LINESTRING(11.48866 50.664129,11.4886519 50.66407340000001)
73	Birkigt	Abzweig	de:16073:2815811::281581101	50.66408	11.48833	bus	MATCHED	n1333605223	19.3	0.57	Birkigt Abzweig	944	Oberwellenborn, Vogelschutz	Oberwellenborn, Vogelschutz	LINESTRING(11.48833 50.66408,11.4885167 50.6642069)
74	Birkigt	Lausnitzer Straße	de:16073:2873026::287302600	50.670442	11.490023	bus	NO_MATCH					545,944	Birkigt, Ort / Könitz, Porzellanwerk		POINT(11.490023 50.670442)
75	Birkigt	Ort	de:16073:2815821	50.66904	11.48422		MATCHED_THOUGH_OSM_NO_NAME	n13495194470	4.6	0.21					LINESTRING(11.48422 50.66904,11.4841554 50.669043800000004)
