	Ortsteil	Haltestelle	globaleID	lat	lon	mode	match_state	osm_id	distance	rating	osm_name	routes	official_direction	osm_direction	WKT
0	Bottrop	Abzweig Ekel	de:05512:3208:0:01	51.620552	6.953778	bus	MATCHED	n3061880500	0.4	1.0	Abzweig Ekel	188,267E	Bottrop Baukholt	Baukholt	LINESTRING(6.953778 51.620552,6.953774500000001 51.620555)
1	Bottrop	Abzweig Ekel	de:05512:3208:0:02	51.621489	6.954317	bus	MATCHED	n3061880503	0.7	1.0	Abzweig Ekel	188	Bottrop Repeler Hof	Repeler Hof	LINESTRING(6.954317 51.621489,6.954323400000001 51.621484200000005)
2	Bottrop	Abzweig Haniel	de:05512:3270:1:01	51.539184	6.8898	bus	MATCHED	n2964838935	1.8	1.0	Abzweig Haniel	251E,261,261E,NE18,TB261	Bottrop Hölderlinstr.	Hölderlinstraße	LINESTRING(6.8898 51.539184,6.889818200000001 51.539195600000006)
3	Bottrop	Abzweig Haniel	de:05512:3270:2:02	51.539586	6.88971	bus	MATCHED	n2964838937	4.9	1.0	Abzweig Haniel	261,261E,NE18,TB261	Bottrop Oberhausener Str. / Bottrop Bischofssondern	Bischofssondern / Oberhausener Straße	LINESTRING(6.88971 51.539586,6.889649500000001 51.539563300000005)
4	Bottrop	Aegidistr.	de:05512:3261:0:01	51.537384	6.950364	bus	MATCHED	n2996797882	1.7	1.0	Aegidistraße	262,262E,TB262	Bottrop Alsenstr.	Alsenstraße	LINESTRING(6.950364 51.537384,6.9503534 51.5373974)
5	Bottrop	Aegidistr.	de:05512:3261:0:02	51.537396	6.950706	bus	MATCHED	n2996797883	0.5	1.0	Aegidistraße	262,TB262	Bottrop In der Boverheide	In der Boverheide	LINESTRING(6.950706 51.537396,6.9507038 51.537399900000004)
6	Bottrop	Alpincenter	de:05512:4522:0:01	51.522055	6.964459	bus	MATCHED	n278560867	0.2	1.0	Alpincenter	263,263E	Bottrop Knappen-/ Prosperstr.	Knappen-/Prosperstraße	LINESTRING(6.964459 51.522055,6.9644585 51.5220568)
7	Bottrop	Alpincenter	de:05512:4522:0:02	51.522027	6.965734	bus	MATCHED	n2951375911	9.3	1.0	Alpincenter	263,263E	Bottrop Zentralwerkstatt	Zentralwerkstatt	LINESTRING(6.965734 51.522027,6.965868 51.522034100000006)
8	Bottrop	Alsenstr.	de:05512:3262:0:01	51.535121	6.944786	bus	MATCHED	n2996797888	0.3	1.0	Alsenstraße	262,TB262	Bottrop Aegidistr.	Aegidistraße	LINESTRING(6.944786 51.535121,6.944786000000001 51.5351179)
9	Bottrop	Alsenstr.	de:05512:3262:0:02	51.535093	6.944471	bus	MATCHED	n2996797886	0.8	1.0	Alsenstraße	262,262E,TB262	Bottrop Im Flaßviertel	Im Flaßviertel	LINESTRING(6.944471 51.535093,6.9444758 51.5350868)
10	Bottrop	Alter Südring	de:05512:3334:0:01	51.513167	6.933611	bus	MATCHED	n2939254987	0.4	1.0	Alter Südring	186,NE16	Bottrop Bahnhofstr.	Bahnhofstraße	LINESTRING(6.933611 51.513167,6.9336101 51.513163500000005)
11	Bottrop	Alter Südring	de:05512:3334:0:02	51.513363	6.93362	bus	MATCHED	n2939254988	2.5	1.0	Alter Südring	186,NE16	Bottrop Hardenbergstr.	Hardenbergstraße	LINESTRING(6.93362 51.513363,6.9336454000000005 51.513346600000006)
12	Bottrop	Am Abenteuerspielplatz	de:05512:4502:0:01	51.518819	6.949646	bus	MATCHED	n435100340	0.7	1.0	Am Abenteuerspielplatz	262,TB262	Bottrop Devensstr.	Devensstraße	LINESTRING(6.949646 51.518819,6.949655600000001 51.51881770000001)
13	Bottrop	Am Abenteuerspielplatz	de:05512:4502:0:02	51.518836	6.949852	bus	MATCHED	n431610431	1.0	1.0	Am Abenteuerspielplatz	262,TB262	Bottrop Prosperstr./Ostring	Prosperstraße/Ostring	LINESTRING(6.949852 51.518836,6.9498553 51.5188277)
14	Bottrop	Am Boyepumpwerk	de:05512:3435:0:01	51.519026	6.986153	bus	MATCHED	n2950606039	0.5	1.0	Am Boyepumpwerk	294E,TB294,TB294A	BOT Haverkamp	Haverkamp	LINESTRING(6.986153 51.519026,6.9861456 51.5190265)
15	Bottrop	Am Boyepumpwerk	de:05512:3435:0:02	51.519031	6.986566	bus	MATCHED	n2950606040	1.0	1.0	Am Boyepumpwerk	TB294	BOT Grenze Welheim	Grenze Welheim	LINESTRING(6.986566 51.519031,6.986572600000001 51.5190228)
16	Bottrop	Am Freitagshof	de:05512:3297:1:01	51.507062	6.912087	bus	MATCHED	n2948621802	3.9	1.0	Am Freitagshof	291,TB294	Bottrop Am Wienberg	Am Wienberg	LINESTRING(6.912087 51.507062,6.9120311 51.5070661)
17	Bottrop	Am Freitagshof	de:05512:3297:2:02	51.506743	6.912177	bus	MATCHED	n2948621803	1.4	1.0	Am Freitagshof	291,294E,TB294	Bottrop Am Quellenbusch	Am Quellenbusch	LINESTRING(6.912177 51.506743,6.912164300000001 51.506733200000006)
18	Bottrop	Am Pastors Busch	de:05512:3412:0:01	51.59836	6.914674	bus	MATCHED	n1713121721	0.7	1.0	Am Pastors Busch	267,267E,NE18	Bottrop Kaplan-Xanten-Str.	Kaplan-Xanten-Straße	LINESTRING(6.914674 51.59836,6.9146665 51.5983637)
19	Bottrop	Am Pastors Busch	de:05512:3412:0:02	51.597763	6.914459	bus	MATCHED	n1713121200	2.1	1.0	Am Pastors Busch	267,267E,NE18	Bottrop In der Koppel	In der Koppel	LINESTRING(6.914459 51.597763,6.914434000000001 51.597753000000004)
20	Bottrop	Am Piekenbrocksbach	de:05512:4766:1:01	51.512988	6.948999	bus	MATCHED_THOUGH_REVERSED_DIR	n2949969638	0.2	1.0	Am Piekenbrocksbach	294,294E,TB294	BOT Lehmkuhler Str.	An der Knippenburg	LINESTRING(6.948999 51.512988,6.9489980000000005 51.512986500000004)
21	Bottrop	Am Piekenbrocksbach	de:05512:4766:1:02	51.512999	6.948648	bus	MATCHED_THOUGH_REVERSED_DIR	n2949969641	1.0	1.0	Am Piekenbrocksbach	294,TB294	Bottrop An der Knippenburg	Lehmkuhler Straße	LINESTRING(6.948648 51.512999,6.9486615 51.5130015)
22	Bottrop	Am Quellenbusch	de:05512:3296:0:01	51.509103	6.911979	bus	MATCHED	n2948621804	0.2	1.0	Am Quellenbusch	291,TB294	Bottrop Am Freitagshof	Am Freitagshof	LINESTRING(6.911979 51.509103,6.911981900000001 51.509101900000005)
23	Bottrop	Am Quellenbusch	de:05512:3296:0:02	51.508896	6.912141	bus	MATCHED	n2948621805	3.5	1.0	Am Quellenbusch	291,294E,TB294	Bottrop Westfriedhof	Westfriedhof	LINESTRING(6.912141 51.508896,6.9121706000000005 51.5088705)
24	Bottrop	Am Sandknappen	de:05512:3292:0:01	51.516259	6.921106	bus	MATCHED	n2938801196	0.4	1.0	Am Sandknappen	261,TB261	BOT Westfriedhof Haupteingang	Westfriedhof Haupteingang	LINESTRING(6.921106 51.516259,6.921111600000001 51.516259500000004)
25	Bottrop	Am Sandknappen	de:05512:3292:0:02	51.515789	6.920926	bus	MATCHED	n2938801198	0.1	1.0	Am Sandknappen	261,TB261	Bottrop Untere Hochstr.	Untere Hochstraße	LINESTRING(6.920926 51.515789,6.9209255 51.5157881)
26	Bottrop	Am Schleitkamp	de:05512:3440:0:01	51.583291	6.889782	bus	MATCHED	n663643843	0.7	1.0	Am Schleitkamp	269E,TB269	Bottrop Dännenkamp	Dännenkamp	LINESTRING(6.889782 51.583291,6.8897848 51.583284600000006)
27	Bottrop	Am Schleitkamp	de:05512:3440:0:02	51.583732	6.889934	bus	MATCHED	n663643844	0.1	1.0	Am Schleitkamp	269E,TB269	Bottrop Lehmschlenke	Lehmschlenke	LINESTRING(6.889934 51.583732,6.8899349 51.5837317)
28	Bottrop	Am Timpenkotten	de:05512:4075:0:01	51.525325	6.949475	bus	MATCHED	n2992390065	0.1	1.0	Am Timpenkotten	266,TB266	Bottrop Tetraeder	Tetraeder	LINESTRING(6.949475 51.525325,6.949475100000001 51.5253257)
29	Bottrop	Am Timpenkotten	de:05512:4075:0:02	51.525303	6.949906	bus	MATCHED	n2992390064	0.6	1.0	Am Timpenkotten	266,266E,TB266	Bottrop Hasenhegge	Hasenhegge	LINESTRING(6.949906 51.525303,6.949903600000001 51.525297800000004)
30	Bottrop	Am Trapez	de:05512:3266:1:01	51.524816	6.92885	bus	MATCHED	n267435228	2.8	1.0	Am Trapez	251,259,259E,267,267E,NE2,SB91,SB91E,TB251	BOT ZOB Berliner Platz / BOT ZOB Berliner Platz / BOT ZOB Berliner Platz / BOT ZOB Berliner Platz / BOT ZOB Berliner Platz / BOT ZOB Berliner Platz / BOT ZOB Berliner Platz	ZOB Berliner Platz	LINESTRING(6.92885 51.524816,6.9288138 51.52482680000001)
31	Bottrop	Am Trapez	de:05512:3266:2:02	51.524218	6.929945	bus	MATCHED	n267435229	1.2	1.0	Am Trapez	251,259,259E,264,264E,267,267E,NE2,SB91,SB91E,TB251	Bottrop Hochschule / Bottrop Finanzamt / Bottrop Brauhaus	Hochschule / Finanzamt / Brauhaus	LINESTRING(6.929945 51.524218,6.9299355 51.524209500000005)
32	Bottrop	Am Weckelsberg	de:05512:3305:0:01	51.537954	6.932802	bus	MATCHED	n267483663	0.3	1.0	Am Weckelsberg	259,259E,NE2,SB91,SB91E	Bottrop Nordring	Nordring	LINESTRING(6.932802 51.537954,6.932799 51.537952700000005)
