	Ortsteil	Haltestelle	globaleID	lat	lon	mode	match_state	osm_id	distance	rating	osm_name	routes	official_direction	osm_direction	WKT
0	Adldorf	FFW	de:09279:305:0:1	48.632792	12.834275		NO_MATCH_AND_SEEMS_UNSERVED								POINT(12.834275 48.632792)
1	Adldorf	FFW	de:09279:305:0:2	48.63281	12.834365		NO_MATCH_AND_SEEMS_UNSERVED								POINT(12.834365 48.63281)
2	Adldorf	Gutsverwaltung	de:09279:3417:0:1	48.634086	12.837042	bus	MATCHED	n5596925039	10.9	1.0	Adldorf, Gutsverwaltung	6235,6259	Prunn / Prunn / Prunn Abzw.	Prunn bei Eichendorf, Abzw.	LINESTRING(12.837042 48.634086,12.836896800000002 48.6341033)
3	Adldorf	Gutsverwaltung	de:09279:3417:0:2	48.634175	12.838147	bus	MATCHED_THOUGH_REVERSED_DIR	n5596925038	7.1	1.0	Adldorf, Gutsverwaltung	6235,6259	Eichendorf, West	Adldorf, Gutsverwaltung	LINESTRING(12.838147 48.634175,12.8380823 48.634128100000005)
4	Altenbuch	Kirche	de:09279:2665:0:1	48.784113	12.751873	bus	MATCHED	n10077993996	4.5	1.0	Altenbuch, Kirche	6237	Arndorf / Lailling		LINESTRING(12.751873 48.784113,12.7519284 48.7841305)
5	Altenbuch	Kirche	de:09279:2665:0:2	48.784019	12.751738	bus	MATCHED	n5570986698	4.5	1.0	Altenbuch, Kirche	6237	Mattenkofen	Mattenkofen, Anw Apfelbeck	LINESTRING(12.751738 48.784019,12.7516776 48.784010300000006)
6	Altenbuch	Kirche	de:09279:2665:0:3	48.784261	12.753122		MATCHED	n5632251796	9.7	1.0	Altenbuch, Kirche			Abzw. Meisternthal / Altenbuch, Schmidbauer	LINESTRING(12.753122 48.784261,12.753190400000001 48.784335500000005)
7	Altenbuch	Schmidbauer	de:09279:271:0:1	48.779899	12.750498		NO_MATCH_AND_SEEMS_UNSERVED								POINT(12.750498 48.779899)
8	Altenbuch	Schmidbauer	de:09279:271:0:2	48.779875	12.750633		MATCHED	n5916784463	3.6	1.0	Altenbuch, Schmidbauer			Wallersdorf, Marktplatz	LINESTRING(12.750633 48.779875,12.750649000000001 48.779905600000006)
9	Altenkirchen	Reisach	de:09279:81865:0:1	48.522776	12.53184		NO_MATCH_AND_SEEMS_UNSERVED								POINT(12.53184 48.522776)
10	Altenkirchen	Reisach	de:09279:81865:0:2	48.522687	12.532136		MATCHED	n10132416796	11.1	1.0	Altenkirchen, Reisach				LINESTRING(12.532136 48.522687,12.5321013 48.522784200000004)
11	Asbach	Sager	de:09279:9578:0:1	48.616516	12.919076	bus	MATCHED	n4192111338	20.1	1.0	Asbach, Sager	7535	Berg, Wimberger	Berg, Wimberger / Hölldobl, Abzw	LINESTRING(12.919076 48.616516,12.918803400000002 48.616525200000005)
12	Asbach	Sager	de:09279:9578:0:2	48.616582	12.919058		MATCHED	n4193394531	2.3	0.78	Asbach, Sager			Asbach, Schöpf	LINESTRING(12.919058 48.616582,12.9190868 48.6165907)
13	Asbach	Schöpf	de:09279:11072:0:1	48.616914	12.913803	bus	MATCHED_THOUGH_REVERSED_DIR	n4193393317	7.0	0.53	Asbach, Schöpf	7535	Asbach, Sager	Dornach, Brücke	LINESTRING(12.913803 48.616914,12.9138216 48.6169756)
14	Asbach	Schöpf	de:09279:11072:0:2	48.61695	12.913848		MATCHED	n4193393318	8.4	1.0	Asbach, Schöpf			Asbach, Sager	LINESTRING(12.913848 48.61695,12.9139137 48.616888700000004)
15	Aufhausen	Bahnhofplatz	de:09279:3375:0:1	48.614503	12.759015	bus	MATCHED_THOUGH_REVERSED_DIR	n2284410864	4.9	1.0	Aufhausen, Bahnhof	6235,6236,6259	Feldöd / Rengersdorf / Schwatzen	Wildthurn, Bahnhof	LINESTRING(12.759015 48.614503,12.759078 48.614517400000004)
16	Aufhausen	Bahnhofplatz	de:09279:3375:0:2	48.614664	12.758871	bus	MATCHED	n634885521	20.0	1.0	Aufhausen Bahnhofsplatz	6235,6236,6259	Reichersdorf, Bgm.-Strigl-Straße / Aufhausen, Gasthaus Buchner / Feldöd		LINESTRING(12.758871 48.614664,12.7590398 48.614804400000004)
