	Ortsteil	Haltestelle	globaleID	lat	lon	mode	match_state	osm_id	distance	rating	osm_name	routes	official_direction	osm_direction	WKT
0	Altenstadt	Alte Molkerei	de:06440:6511:1:1	50.286038	8.946411	bus	MATCHED	n3528095863	6.9	0.75	Alte Molkerei	563,FB-40,FB-41,FB-42,FB-48,FB-49	Altenstadt-Lindheim Friedhof / Altenstadt Goethestraße / Altenstadt Altenstadthalle / Altenstadt Janusz-Korczak-Schule / Altenstadt-Rodenbach / Altenstadt Altenstadthalle	Janusz-Korczak-Schule / Rodenbach / Goethestraße / Friedhof / Altenstadthalle	LINESTRING(8.946411 50.286038,8.9465024 50.286018000000006)
1	Altenstadt	Alte Molkerei	de:06440:6511:2:2	50.286299	8.946972	bus	MATCHED	n2628280339	8.1	0.72	Alte Molkerei	563,FB-40,FB-41,FB-42,FB-48,FB-49	Limeshain-Rommelhausen Barbarossabrunnen / Altenstadt Bahnhof / Altenstadt Am Römerbrunnen / Altenstadt-Oberau Landesstraße	Landesstraße / Am Römerbrunnen / Barbarossabrunnen	LINESTRING(8.946972 50.286299,8.946883900000001 50.2862529)
2	Altenstadt	Altenstadthalle	de:06440:22992:1:1	50.287361	8.94923	bus	MATCHED	n3587853915	5.2	0.72	Altenstadthalle	FB-42,FB-45	Altenstadt-Lindheim Friedhof / Altenstadt Alte Molkerei	Alte Molkerei	LINESTRING(8.94923 50.287361,8.9492964 50.2873418)
3	Altenstadt	Altenstadthalle	de:06440:22992:1:2	50.287505	8.949118	bus	MATCHED	n3587853917	10.9	0.55	Altenstadthalle	FB-41	Altenstadt-Oberau Beim Zehnmorgenfeld / Altenstadt Alte Molkerei		LINESTRING(8.949118 50.287505,8.949217500000001 50.28743)
4	Altenstadt	Altenstadthalle	de:06440:22992:1:3	50.287621	8.948991	bus	MATCHED	n3587853919	16.5	0.46	Altenstadthalle	FB-41	Altenstadt-Rodenbach	Friedhof / Rodenbach / Alte Molkerei / Festplatz	LINESTRING(8.948991 50.287621,8.9491492 50.2875127)
5	Altenstadt	Am Römerbrunnen	de:06440:6512:1:1	50.285037	8.93993	bus	MATCHED	n3587853922	2.3	0.88	Am Römerbrunnen	FB-40	Nidderau-Erbstadt Pfaffenhof / Niddatal-Bönstadt Ortsmitte	Erbstädter Straße / Pfaffenhof	LINESTRING(8.93993 50.285037,8.9398976 50.2850363)
6	Altenstadt	Am Römerbrunnen	de:06440:6512:2:2	50.285047	8.941431	bus	MATCHED	n3587853923	3.9	0.83	Am Römerbrunnen	FB-40	Altenstadt Alte Molkerei	Alte Molkerei	LINESTRING(8.941431 50.285047,8.941438900000001 50.2850813)
7	Altenstadt	Bahnhof	de:06440:6501:10:10	50.283308	8.944286	train	MATCHED	n6204567494	3.1	0.68	Altenstadt (Hessen)	RB34	Altenstadt-Höchst Bahnhof	Altenstadt-Höchst	LINESTRING(8.944286 50.283308,8.944304500000001 50.283333400000004)
8	Altenstadt	Bahnhof	de:06440:6501:11:11	50.283308	8.944286	train	MATCHED	n3587682611	3.1	0.69	Altenstadt (Hessen)	RB34	Lindheim Altenstadt-Lindheim Bahnhof	Lindheim	LINESTRING(8.944286 50.283308,8.9443227 50.283293)
9	Altenstadt	Bahnhof	de:06440:6501:1:2	50.283503	8.943676	bus	MATCHED	n5317030236	6.9	0.63	Bahnhof	563,FB-41,FB-42,FB-48,FB-49	Altenstadt-Oberau Landesstraße / Altenstadt-Waldsiedlung Bornfloßstraße / Limeshain-Rommelhausen Barbarossabrunnen / Altenstadt-Lindheim Festplatz / Altenstadt-Oberau Beim Zehnmorgenfeld / Altenstadt Alte Molkerei / Limeshain-Rommelhausen Hauptstraße	Landesstraße / Festplatz / Beim Zehnmorgenfeld / Barbarossabrunnen / Hauptstraße / Alte Molkerei	LINESTRING(8.943676 50.283503,8.943585800000001 50.283481200000004)
10	Altenstadt	Bahnhof	de:06440:6501:1:3	50.28344	8.943525	bus	MATCHED	n5317030237	9.0	0.57	Bahnhof	563,FB-1	Altenstadt Stammheimer Straße / Altenstadt Alte Molkerei	Landesstraße / Stammheimer Straße	LINESTRING(8.943525 50.28344,8.943401300000001 50.2834231)
11	Altenstadt	Enzheim	de:06440:6506:1:1	50.297121	8.989249	bus	MATCHED	n3787776806	17.2	0.59	Enzheim	FB-41,FB-45,FB-48	Büdingen-Düdelsheim Hauptstraße / Altenstadt-Lindheim Festplatz / Altenstadt-Lindheim Festplatz	Festplatz / Hauptstraße	LINESTRING(8.989249 50.297121,8.9891231 50.2972527)
12	Altenstadt	Enzheim	de:06440:6506:2:2	50.297088	8.989335	bus	MATCHED	n3787776805	5.2	0.79	Enzheim	FB-41,FB-45	Glauburg-Glauberg Enzheimer Straße	Festplatz / Enzheimer Straße	LINESTRING(8.989335 50.297088,8.9893754 50.2970489)
13	Altenstadt	Enzheim	de:06440:6506:99:99	50.298244	8.988254		NO_MATCH_AND_SEEMS_UNSERVED								POINT(8.988254 50.298244)
14	Altenstadt	Goethestraße	de:06440:23879:1:1	50.288636	8.947194	bus	MATCHED	n3587853925	1.6	0.85	Goethestraße	563	Altenstadt Alte Molkerei	Alte Molkerei	LINESTRING(8.947194 50.288636,8.947205400000001 50.288623300000005)
15	Altenstadt	Heegheim	de:06440:6509:2:2	50.307223	8.97413	bus	MATCHED	n3692191281	1.9	0.84	Heegheim	FB-41,FB-48	Glauburg-Glauberg Enzheimer Straße / Altenstadt-Rodenbach / Altenstadt-Lindheim Heegheimer Straße	Enzheimer Straße / Heegheimer Straße / Rodenbach	LINESTRING(8.97413 50.307223,8.9741485 50.3072347)
16	Altenstadt	Höchst Bahnhof	de:06440:6599:1:1	50.269753	8.923454	train	MATCHED	n6204567495	7.7	0.46	Altenstadt-Höchst	RB34	Nidderau-Eichen Nidderau-Eichen Bahnhof / Altenstadt Bahnhof	Altenstadt (Hessen) / Nidderau-Eichen	LINESTRING(8.923454 50.269753,8.9233764 50.269800700000005)
