	Ortsteil	Haltestelle	globaleID	lat	lon	mode	match_state	osm_id	distance	rating	osm_name	routes	official_direction	osm_direction	WKT
0	Altenstadt	Bahnhof	de:09775:4401:1:1	48.160998	10.11035	bus	MATCHED	w459780020	3.3	1.0	Altenstadt Bahnhof	72,925	Illertissen Schulz./Nautilla / Altenstadt Schule / Altenstadt Riedweg / Altenstadt Riedweg / Filzingen / Kellmünz		LINESTRING(10.11035 48.160998,10.110308870039132 48.16101013897072)
1	Altenstadt	Bahnhof	de:09775:4401:1:2	48.161201	10.110404	bus	MATCHED	w459780019	3.6	1.0	Altenstadt Bahnhof	706,925	Untereichen Aichheimstraße / Altenstadt Schule / Illertissen Schulz./Nautilla		LINESTRING(10.110404 48.161201,10.110440499960003 48.16117958342587)
2	Altenstadt	Bahnhof	de:09775:4401:3:30	48.161081	10.110053	train	MATCHED	n260742384	18.3	0.28	Altenstadt (Iller)	RS7	Kellmünz / Illertissen / Kellmünz / Illertissen	Kellmünz / Illertissen	LINESTRING(10.110053 48.161081,10.109975 48.1612371)
3	Altenstadt	Bahnhof	de:09775:4401:3:31	48.161123	10.110323	train	MATCHED	n1315296374	24.7	0.24	Altenstadt (Iller)	RE75,RS7	Illertissen / Kellmünz / Kellmünz / Illertissen		LINESTRING(10.110323 48.161123,10.1100428 48.161242300000005)
4	Altenstadt	Bahnhof	de:09775:4401:4:40	48.161627	10.110143		MATCHED	n5796868140	51.6	0.17	Altenstadt Bahnhof				LINESTRING(10.110143 48.161627,10.1104071 48.1611977)
5	Altenstadt	Bahnhof	de:09775:4401:5:50	48.16083	10.110296		MATCHED	n3954908457	18.7	0.35	Altenstadt Bahnhof				LINESTRING(10.110296 48.16083,10.110348100000001 48.1609946)
6	Altenstadt	Bergenstetten Badhauser Weg	de:09775:4418:0:1	48.182463	10.1456	bus	MATCHED	n8832558262	0.7	1.0	Badhauser Weg	706	Dattenhausen		LINESTRING(10.1456 48.182463,10.1456038 48.1824688)
7	Altenstadt	Bergenstetten Badhauser Weg	de:09775:4418:0:2	48.182648	10.145995	bus	MATCHED	n8832558261	1.9	1.0	Badhauser Weg	706	Bergenstetten St.-Nikolaus-Str / Bergenstetten St.-Nikolaus-Str		LINESTRING(10.145995 48.182648,10.1459706 48.1826427)
8	Altenstadt	Bergenstetten St. -Nikolaus-Str	de:09775:4417:0:1	48.184661	10.142806	bus	MATCHED	n8832554951	3.0	1.0	Sankt-Nikolaus-Straße	706	Bergenstetten Badhauser Weg		LINESTRING(10.142806 48.184661,10.1427653 48.184662200000005)
9	Altenstadt	Bergenstetten St. -Nikolaus-Str	de:09775:4417:0:2	48.184679	10.142941	bus	MATCHED	n8832554950	1.2	1.0	Sankt-Nikolaus-Straße	706	Jedesheim Neuer Weg		LINESTRING(10.142941 48.184679,10.1429249 48.1846765)
10	Altenstadt	Dattenhausen	de:09775:4414:0:1	48.173142	10.146786	bus	MATCHED	n8832525777	3.6	1.0	Dattenhausen	706	Illereichen Lindenfeldstraße / Altenstadt Schule		LINESTRING(10.146786 48.173142,10.146803400000001 48.173112)
11	Altenstadt	Dattenhausen	de:09775:4414:0:2	48.173244	10.14683	bus	MATCHED	n8832525778	2.1	1.0	Dattenhausen	706	Bergenstetten Badhauser Weg		LINESTRING(10.14683 48.173244,10.146837600000001 48.1732256)
12	Altenstadt	Filzingen	de:09775:4431:0:1	48.142347	10.121687	bus	MATCHED	n8832601280	0.6	1.0	Filzingen	925	Untereichen Aichheimstraße / Kellmünz Illertalstraße / Altenstadt Schule / Kellmünz / Kellmünz Illertalstraße / Altenstadt Riedweg		LINESTRING(10.121687 48.142347,10.121694600000001 48.1423453)
13	Altenstadt	Filzingen	de:09775:4431:0:2	48.142287	10.121884	bus	MATCHED	n8832601279	5.1	1.0	Filzingen	925	Altenstadt Schule / Altenstadt Riedweg / Untereichen Aichheimstraße		LINESTRING(10.121884 48.142287,10.121818000000001 48.142299200000004)
14	Altenstadt	Herrenstetten	de:09775:4427:0:1	48.186889	10.113611	bus	MATCHED	n1276331728	21.9	1.0	Herrenstetten	925	Jedesheim Rathaus / Untereichen Aichheimstraße / Altenstadt Schule / Illertissen Schulz./Nautilla		LINESTRING(10.113611 48.186889,10.113809100000001 48.186743)
15	Altenstadt	Herrenstetten	de:09775:4427:0:2	48.186751	10.113817	bus	MATCHED	n1276331270	22.5	1.0	Herrenstetten	706,925	Illertissen Schulz./Nautilla / Jedesheim Rathaus / Altenstadt Schule		LINESTRING(10.113817 48.186751,10.1136239 48.1869068)
16	Altenstadt	Illereichen Großtorstraße	de:09775:4411:0:1	48.163952	10.124516	bus	MATCHED	n8832499666	12.7	1.0	Illereichen Großtorstraße	706	Altenstadt Unt.Illereich.Str.		LINESTRING(10.124516 48.163952,10.124599400000001 48.1640518)
17	Altenstadt	Illereichen Großtorstraße	de:09775:4411:0:2	48.164053	10.124615	bus	MATCHED	n8832499667	13.7	1.0	Illereichen Großtorstraße	706	Illereichen Lindenfeldstraße		LINESTRING(10.124615 48.164053,10.1245223 48.163946200000005)
18	Altenstadt	Illereichen Lindenfeldstraße	de:09775:4412:0:1	48.166516	10.130113	bus	MATCHED	n8832488771	1.5	1.0	Illereichen Lindenfeldstraße	706	Illereichen Großtorstraße		LINESTRING(10.130113 48.166516,10.1301006 48.166505400000005)
19	Altenstadt	Illereichen Lindenfeldstraße	de:09775:4412:0:2	48.166348	10.129969	bus	MATCHED	n8832488770	0.3	1.0	Illereichen Lindenfeldstraße	706	Dattenhausen		LINESTRING(10.129969 48.166348,10.129972500000001 48.166348400000004)
20	Altenstadt	Kindergarten	de:09775:4404:0:1	48.163215	10.113674		NO_MATCH_AND_SEEMS_UNSERVED								POINT(10.113674 48.163215)
