	Ortsteil	Haltestelle	globaleID	lat	lon	mode	match_state	osm_id	distance	rating	osm_name	routes	official_direction	osm_direction	WKT
0	Bad Sooden-Allendorf	AST-Haltestellen	de:06636:206574::A	51.270147	9.971178	bus	NO_MATCH_AND_SEEMS_UNSERVED								POINT(9.971178 51.270147)
1	Bad Sooden-Allendorf	AST-Haltestellen	de:06636:206574::AST	51.270147	9.971178	bus	NO_MATCH_AND_SEEMS_UNSERVED								POINT(9.971178 51.270147)
2	Bad Sooden-Allendorf	AST-Haltestellen	de:06636:206574::B	51.270147	9.971178	bus	NO_MATCH_AND_SEEMS_UNSERVED								POINT(9.971178 51.270147)
3	Bad Sooden-Allendorf	Ahrenberg	de:06636:206008::A	51.282862	9.94976	bus	MATCHED	n424930129	3.0	0.76	Ahrenberg				LINESTRING(9.94976 51.282862,9.9497292 51.2828809)
4	Bad Sooden-Allendorf	Ahrenberg	de:06636:206008::B	51.28225	9.949862	bus	NO_MATCH_AND_SEEMS_UNSERVED								POINT(9.949862 51.28225)
5	Bad Sooden-Allendorf	Am Brauhaus	de:06636:206560::A	51.273909	9.979282	bus	MATCHED	n4204016548	9.8	0.58	Am Brauhof	A	Bad Sooden-Allendorf Hainsbachweg	Hainsbachweg	LINESTRING(9.979282 51.273909,9.9792634 51.2738213)
6	Bad Sooden-Allendorf	Am Brauhaus	de:06636:206560::B	51.273909	9.979282	bus	NO_MATCH_AND_SEEMS_UNSERVED								POINT(9.979282 51.273909)
7	Bad Sooden-Allendorf	Am Haintor	de:06636:206010::A	51.27188	9.9621	bus	MATCHED	n4472343488	4.2	0.71	Am Haintor				LINESTRING(9.9621 51.27188,9.9620957 51.2718427)
8	Bad Sooden-Allendorf	Am Haintor	de:06636:206010::B	51.27188	9.9621	bus	NO_MATCH_BUT_OTHER_PLATFORM_MATCHED					B	Bad Sooden-Allendorf Bahnhof/ZOB / Bad Sooden-Allendorf Bahnhof/ZOB		POINT(9.9621 51.27188)
9	Bad Sooden-Allendorf	Ausbachweg	de:06636:206668::A	51.268657	9.983842	bus	MATCHED	n4472307627	1.7	0.89	Ausbachweg	A	Bad Sooden-Allendorf Schwimmbad	Schwimmbad	LINESTRING(9.983842 51.268657,9.9838588 51.268646100000005)
10	Bad Sooden-Allendorf	Ausbachweg	de:06636:206668::B	51.267851	9.985587	bus	NO_MATCH_AND_SEEMS_UNSERVED								POINT(9.985587 51.267851)
11	Bad Sooden-Allendorf	Bahnhof/ZOB	de:06636:206569::1	51.268353	9.968592	trainish	MATCHED	n1210623648	2.7	0.67	Bad Sooden-Allendorf			Eichenberg	LINESTRING(9.968592 51.268353,9.9685667 51.2683345)
12	Bad Sooden-Allendorf	Bahnhof/ZOB	de:06636:206569::2	51.267963	9.968655	trainish	MATCHED	n619745121	4.9	0.59	Bad Sooden-Allendorf			Eschwege-Niederhone	LINESTRING(9.968655 51.267963,9.968725300000001 51.2679686)
13	Bad Sooden-Allendorf	Bahnhof/ZOB	de:06636:206569::A	51.268347	9.968997	bus	MATCHED	w528453272	0.6	0.76	Bahnhof	216,220,A,B	Bad Sooden-Allendorf Werrastraße / Bad Sooden-Allendorf-Kleinvach / Bad Sooden-Allendorf Städtersweg / Bad Sooden-Allendorf Kiga B.-Schrot-Straße	Werrastraße / Kleinvach	LINESTRING(9.968997 51.268347,9.96899027762783 51.26835091836741)
14	Bad Sooden-Allendorf	Bahnhof/ZOB	de:06636:206569::AST	51.268365	9.969093	bus	MATCHED	n2989995136	7.3	0.45	Bahnhof				LINESTRING(9.969093 51.268365,9.9691959 51.268374300000005)
15	Bad Sooden-Allendorf	Bahnhof/ZOB	de:06636:206569::B	51.268375	9.969161	bus	MATCHED	w528453269	2.3	0.58	Bahnhof	216,220,A,B	Bad Sooden-Allendorf Hospitalkapelle / Bad Sooden-Allendorf Feuerwache / Bad Sooden-Allendorf-Ellershausen / Bad Sooden-Allendorf Hainbachwiesen	Hospitalkapelle	LINESTRING(9.969161 51.268375,9.969193584939346 51.26837365553982)
16	Bad Sooden-Allendorf	Balzerbornweg	de:06636:206675::A	51.266013	9.9646	bus	MATCHED	n4472344989	11.4	0.51	Balzerbornweg	B	Bad Sooden-Allendorf Brunnenplatz		LINESTRING(9.9646 51.266013,9.9646907 51.266097900000005)
17	Bad Sooden-Allendorf	Balzerbornweg	de:06636:206675::B	51.266013	9.9646	bus	NO_MATCH_AND_SEEMS_UNSERVED								POINT(9.9646 51.266013)
18	Bad Sooden-Allendorf	Brunnen vor dem Tore	de:06636:206017::A	51.270135	9.981194	bus	NO_MATCH_BUT_OTHER_PLATFORM_MATCHED					A	Bad Sooden-Allendorf Hainsbachweg / Bad Sooden-Allendorf Steintor		POINT(9.981194 51.270135)
19	Bad Sooden-Allendorf	Brunnen vor dem Tore	de:06636:206017::AST	51.270181	9.981137	bus	NO_MATCH_AND_SEEMS_UNSERVED								POINT(9.981137 51.270181)
