	Ortsteil	Haltestelle	globaleID	lat	lon	mode	match_state	osm_id	distance	rating	osm_name	routes	official_direction	osm_direction	WKT
0	Gera	Abzweig Collis	de:16052:152090::15209000	50.861668	12.110065	bus	MATCHED	n4017199892	1.7	0.9	Abzweig Collis	12	Gera, Zschippern	Zschippern	LINESTRING(12.110065 50.861668,12.110041200000001 50.861668400000006)
1	Gera	Abzweig Collis	de:16052:152090::15209001	50.861929	12.109117		NO_MATCH_AND_SEEMS_UNSERVED								POINT(12.109117 50.861929)
2	Gera	Abzweig Conradstraße	de:16052:152182	50.888824	12.061732		NO_MATCH_AND_SEEMS_UNSERVED								POINT(12.061732 50.888824)
3	Gera	Abzweig Hilbersdorf	de:16052:3010111::301011100	50.810738	12.14599	bus	MATCHED	n5863921630	11.3	0.67	Abzweig Hilbersdorf	219	Hilbersdorf, Ort	Hilbersdorf	LINESTRING(12.14599 50.810738,12.1458375 50.810769)
4	Gera	Abzweig Hilbersdorf	de:16052:3010111::301011101	50.81084	12.145757		MATCHED	n302434849	1.9	0.8	Abzweig Hilbersdorf				LINESTRING(12.145757 50.81084,12.145773100000001 50.8108542)
5	Gera	Abzweig Lengefeld	de:16052:152233::15223300	50.844762	12.109377	bus	MATCHED	n7330286335	7.4	0.74	Abzweig Lengefeld	18	Gera, Kaimberg	Kaimberg	LINESTRING(12.109377 50.844762,12.109349 50.844698)
6	Gera	Abzweig Lengefeld	de:16052:152233::15223301	50.844835	12.109454	bus	MATCHED	n7330286336	6.7	0.75	Abzweig Lengefeld	18	Gera, Kuchenholz	Kuchenholz	LINESTRING(12.109454 50.844835,12.109418000000002 50.844779)
7	Gera	Abzweig Lengefeld	de:16052:152999	50.844675	12.109452		NO_MATCH_AND_SEEMS_UNSERVED								POINT(12.109452 50.844675)
8	Gera	Abzweig Lessen	de:16052:152155::15215500	50.955544	12.069673		MATCHED	n7061724430	5.8	0.61	Abzweig Lessen				LINESTRING(12.069673 50.955544,12.0696431 50.9555925)
9	Gera	Abzweig Lessen	de:16052:152155::15215501	50.955429	12.069303		MATCHED	n7061724429	0.0	0.95	Abzweig Lessen				LINESTRING(12.069303 50.955429,12.0693026 50.9554291)
10	Gera	Abzweig Naulitz	de:16052:152210::15221000	50.877102	12.153077	bus	MATCHED	n302426739	7.8	0.73	Abzweig Naulitz	211,212,213	Gera, Gewerbegebiet Trebnitz / Gera, Leumnitz Flugplatz / Gera, Ostfriedhof	Gewerbegebiet Trebnitz / Flugplatz	LINESTRING(12.153077 50.877102,12.1531362 50.877042900000006)
11	Gera	Abzweig Naulitz	de:16052:152210::15221001	50.877052	12.153	bus	MATCHED	n299114468	9.2	0.7	Abzweig Naulitz	212,213	Ronneburg, Markt / Ronneburg, Regelschule	Ronneburg, Zeitzer Straße / Ronneburg, Markt	LINESTRING(12.153 50.877052,12.152883300000001 50.877088400000005)
12	Gera	Abzweig Naulitz	de:16052:3010181	50.877102	12.153077		NO_MATCH_AND_SEEMS_UNSERVED								POINT(12.153077 50.877102)
13	Gera	Abzweig Seligenstädt	de:16052:152204::15220400	50.946885	12.094752	bus	MATCHED	n7061724407	10.1	0.55	Abzweig Seligenstädt	229	Kleinaga, Thälmann-Siedlung / Gera, Reichenbach	Reichenbach	LINESTRING(12.094752 50.946885,12.094710200000002 50.9469719)
14	Gera	Ahornstraße	de:16052:152032	50.84562	12.069819		MATCHED_AMBIGUOUSLY	n4852268335	143.4	0.07	Ahornstraße			Bahnhof Zwötzen / Karl-Matthes-Straße	LINESTRING(12.069819 50.84562,12.07182 50.8458551)
15	Gera	Ahornstraße	de:16052:152032	50.84562	12.069819		MATCHED_AMBIGUOUSLY	n4852266283	12.3	0.44	Ahornstraße			Zeulsdorfer Straße	LINESTRING(12.069819 50.84562,12.0699872 50.845648000000004)
16	Gera	Altenburger Straße	de:16052:152045::15204500	50.879874	12.101963	bus	MATCHED	n345597406	3.2	0.85	Altenburger Straße	10,11,17,26	Gera, Leumnitz	Leumnitz	LINESTRING(12.101963 50.879874,12.1019191 50.8798667)
17	Gera	Altenburger Straße	de:16052:152045::15204501	50.879985	12.101396	bus	MATCHED	n345597408	11.1	0.67	Altenburger Straße	10,11,17,26	Gera, Steinstraße	Steinstraße	LINESTRING(12.101396 50.879985,12.101541600000001 50.879947800000004)
18	Gera	Altenburger Straße Ersatzhaltestelle	de:16052:152236::15223600	50.879955	12.101348		NO_MATCH_AND_SEEMS_UNSERVED								POINT(12.101348 50.879955)
19	Gera	Altenburger Straße Ersatzhaltestelle	de:16052:152236::15223601	50.879955	12.101348		NO_MATCH_AND_SEEMS_UNSERVED								POINT(12.101348 50.879955)
20	Gera	Am Ernseer Berg	de:16052:152176::15217600	50.8678	12.032902	bus	MATCHED	n364813606	3.6	0.84	Am Ernseer Berg	17	Gera, Windischenbernsdorf	Windischenbernsdorf	LINESTRING(12.032902 50.8678,12.0328611 50.8678189)
21	Gera	Am Ernseer Berg	de:16052:152176::15217601	50.867862	12.032998	bus	MATCHED	n4019812663	2.2	0.88	Am Ernseer Berg	17	Gera, Scheubengrobsdorf	Scheubengrobsdorf	LINESTRING(12.032998 50.867862,12.0329817 50.867845100000004)
22	Gera	Am Kalkberg	de:16052:152092::15209200	50.86131	12.092087	bus	MATCHED	n4017201310	8.1	0.72	Am Kalkberg	12	Gera, Richard-Wagner-Straße	Richard-Wagner-Straße	LINESTRING(12.092087 50.86131,12.092192800000001 50.8613386)
23	Gera	Am Kalkberg	de:16052:152092::15209201	50.861123	12.092789	bus	MATCHED	n4017201311	15.8	0.61	Am Kalkberg	12	Gera, Gewerbegebiet Pforten	Gewerbegebiet Pforten	LINESTRING(12.092789 50.861123,12.092571000000001 50.8610885)
24	Gera	Am Kieferngraben	de:16052:152253::15222300	50.87779	12.10588	bus	MATCHED	n9044030542	0.0	0.97	Am Kieferngraben	14,19	Gera, Quellenstraße	Quellenstraße	LINESTRING(12.10588 50.87779,12.10588 50.877790000000005)
