	Ortsteil	Haltestelle	globaleID	lat	lon	mode	match_state	osm_id	distance	rating	osm_name	routes	official_direction	osm_direction	WKT
0	Am Ohmberg	Großbodungen	de:16061:8011741::801174100	51.478036	10.481389		NO_MATCH_AND_SEEMS_UNSERVED								POINT(10.481389 51.478036)
1	Am Ohmberg	Hauröden	de:16061:600219::60021900	51.482848	10.445121	bus	NO_MATCH_BUT_OTHER_PLATFORM_MATCHED					23,25,26	Bischofferode, Hauptstraße / Bischofferode, Schule / Bischofferode, Sportplatz		POINT(10.445121 51.482848)
2	Am Ohmberg	Hauröden	de:16061:600219::60021901	51.482804	10.444904	bus	MATCHED	n595425074	54.3	0.38	Hauröden	23,25,26	Großbodungen, Bahnhof / Großbodungen, Schule	Großbodungen, Schule	LINESTRING(10.444904 51.482804,10.4456289 51.482621)
3	Am Ohmberg	Neubleicherode	de:16061:600352::60035200	51.470035	10.437444	bus	MATCHED	n1907082421	8.2	0.6	Neubleicherode	26	Neustadt (Eichsfeld), Hinter der Kirche / Haynrode, Mitte / Neustadt (Eichsfeld), Mitte		LINESTRING(10.437444 51.470035,10.437396000000001 51.469968)
4	Am Ohmberg	Wallrode	de:16061:600260::60026000	51.46076	10.4895	bus	MATCHED	n3709800699	5.4	0.68	Wallrode	24	Großbodungen, Schule / Großbodungen, Bahnhof		LINESTRING(10.4895 51.46076,10.4894224 51.460759)
5	Arenshausen	Arenshausen	de:16061:8011054:801105400:801105450	51.375106	9.9685	trainish	MATCHED	w355476277	2.7	0.83	Arenshausen				LINESTRING(9.9685 51.375106,9.968475624096738 51.37512443358651)
6	Arenshausen	Arenshausen	de:16061:8011054:801105401:801105451	51.374898	9.973018	trainish	MATCHED	n1216500691	2.5	0.84	Arenshausen			Uder	LINESTRING(9.973018 51.374898,9.972996700000001 51.374915900000005)
7	Arenshausen	B 80	de:16061:661011::66101100	51.377011	9.956322	bus	NO_MATCH					16	Arenshausen, Mitte		POINT(9.956322 51.377011)
8	Arenshausen	Bahnhof	de:16061:600190::60019000	51.3751	9.969167		NO_MATCH_AND_SEEMS_UNSERVED								POINT(9.969167 51.3751)
9	Arenshausen	Bahnhof	de:16061:600190::60019001	51.3751	9.969167	bus	NO_MATCH_AND_SEEMS_UNSERVED								POINT(9.969167 51.3751)
10	Arenshausen	Kirche	de:16061:600188::60018800	51.376635	9.974361	bus	MATCHED	n1373116877	3.0	0.78	Arenshausen Kirche	14,16	Arenshausen, Schule / Arenshausen, Miwepa / Arenshausen, Mitte / Kirchgandern, Mitte	Kirchgandern Mitte	LINESTRING(9.974361 51.376635,9.974372200000001 51.376608700000006)
11	Arenshausen	Mitte	de:16061:600075::60007500	51.377382	9.967838	bus	NO_MATCH_BUT_OTHER_PLATFORM_MATCHED					14,16	Uder, Bahnhof / Kirchgandern, Mitte / Arenshausen, Schule / Arenshausen, Miwepa / Arenshausen, Kirche / Hohengandern, Mitte		POINT(9.967838 51.377382)
12	Arenshausen	Mitte	de:16061:600075::60007501	51.377379	9.969113		MATCHED	n9435782458	7.4	0.56	Arenshausen Mitte				LINESTRING(9.969113 51.377379,9.9692161 51.377395400000005)
13	Arenshausen	Mitte	de:16061:600075::60007502	51.377326	9.96908	bus	MATCHED	n9435782459	13.0	0.49	Arenshausen Mitte				LINESTRING(9.96908 51.377326,9.969263900000001 51.377304)
14	Arenshausen	Miwepa	de:16061:600073::60007300	51.38095	9.991728	bus	MATCHED	n9435782447	23.4	0.53	Arenshausen Miwepa	16	Arenshausen, Kirche / Kirchgandern, Mitte / Arenshausen, Mitte / Arenshausen, Schule	Arenshausen Kirche	LINESTRING(9.991728 51.38095,9.991837400000001 51.381149400000005)
15	Arenshausen	Miwepa	de:16061:600073::60007301	51.381035	9.991879	bus	MATCHED	n929487115	7.4	0.61	Arenshausen Miwepa	16	Marth / Rustenfelde, Schule		LINESTRING(9.991879 51.381035,9.9919782 51.381060100000006)
16	Arenshausen	Schule	de:16061:600074::60007400	51.378574	9.972717	bus	MATCHED	n929487262	5.1	0.69	Arenshausen Schule	14,16	Hohengandern, Mitte / Hessenau / Kirchgandern, Mitte / Arenshausen, Kirche / Arenshausen, Miwepa / Arenshausen, Mitte	Hohengandern Mitte	LINESTRING(9.972717 51.378574,9.972648300000001 51.378590900000006)
17	Asbach-Sickenberg	Asbach (Eichsfeld)	de:16061:600097::60009700	51.279711	10.029033	bus	MATCHED	n9709358396	2.7	0.79	Asbach	13	Sickenberg		LINESTRING(10.029033 51.279711,10.0290022 51.2796968)
18	Asbach-Sickenberg	Sickenberg	de:16061:600096::60009600	51.286492	10.008849		MATCHED	n9709408423	6.5	0.59	Sickenberg				LINESTRING(10.008849 51.286492,10.0088507 51.28655070000001)
19	Asbach-Sickenberg	Sickenberg	de:16061:600096::60009601	51.286571	10.008997	bus	MATCHED	n9709408424	3.5	0.76	Sickenberg	13	Sickenberg, Grenzmuseum / Dietzenrode		LINESTRING(10.008997 51.286571,10.0089491 51.286580300000004)
