	Ortsteil	Haltestelle	globaleID	lat	lon	mode	match_state	osm_id	distance	rating	osm_name	routes	official_direction	osm_direction	WKT
0	Alteburgstr.	Simmern (Hunsrück)	de:07140:060454	49.987007	7.534045		NO_MATCH_AND_SEEMS_UNSERVED								POINT(7.534045 49.987007)
1	Alter Bahnhof	Ebschied	de:07140:060199	50.072759	7.515054		NO_MATCH_AND_SEEMS_UNSERVED								POINT(7.515054 50.072759)
2	Alterkülz	Gemeindehaus	de:07140:060168:01:01	50.030843	7.466267	bus	MATCHED	n10693522821	2.4	0.81	Alterkülz, Gemeindehaus	650,653	Alterkülz Kapelle / Alterkülz Kindergarten		LINESTRING(7.466267 50.030843,7.4663003 50.0308439)
3	Alterkülz	Gemeindehaus	de:07140:060168:02:02	50.030716	7.466321	bus	MATCHED	n10693522822	1.7	0.85	Alterkülz, Gemeindehaus	650,653	Michelbach (Hunsr) Südhang / Neuerkirch Schule		LINESTRING(7.466321 50.030716,7.4663184000000005 50.0307308)
4	Alterkülz	Kapelle	de:07140:060167:01:01	50.033642	7.458856	bus	MATCHED	n10693522823	1.4	0.86	Alterkülz, Kapelle	650,653	Hasselbach (Hunsr) Am Ring / Hasselbach (Hunsr) Dorfstraße		LINESTRING(7.458856 50.033642,7.4588445000000005 50.0336316)
5	Alterkülz	Kapelle	de:07140:060167:02:02	50.033567	7.458838	bus	MATCHED	n10693522824	3.2	0.77	Alterkülz, Kapelle	650,653	Alterkülz Kindergarten / Alterkülz Gemeindehaus		LINESTRING(7.458838 50.033567,7.4588092 50.0335449)
6	Alterkülz	Kindergarten	de:07140:060169:01:01	50.032084	7.463751	bus	NO_MATCH					650	Alterkülz Kapelle		POINT(7.463751 50.032084)
7	Alterkülz	Kindergarten	de:07140:060169:02:02	50.03206	7.463697	bus	NO_MATCH					650	Alterkülz Gemeindehaus		POINT(7.463697 50.03206)
8	Altes Kino	Sohren	de:07140:060536	49.929214	7.305226		NO_MATCH_AND_SEEMS_UNSERVED								POINT(7.305226 49.929214)
9	Altweidelbach	Am Südhang	de:07140:060398	49.993966	7.564812		NO_MATCH_AND_SEEMS_UNSERVED								POINT(7.564812 49.993966)
10	Altweidelbach	Simmerner Straße	de:07140:060540:01:01	49.994376	7.56651	bus	MATCHED_THOUGH_OSM_NO_NAME	n9999154054	29.8	0.12		649	Mutterschied Bürgerhaus / Wahlbach (Hunsr) Gartenweg		LINESTRING(7.56651 49.994376,7.5660945 49.9943595)
11	Altweidelbach	Simmerner Straße	de:07140:060540:02:02	49.994324	7.564219	bus	NO_MATCH_BUT_OTHER_PLATFORM_MATCHED					607,649	Mutterschied Bürgerhaus / Simmern (Hunsr) Schulzentrum / Simmern (Hunsr) An der Domäne		POINT(7.564219 49.994324)
12	Am Heckelbaum	Mutterschied	de:07140:060426	49.983923	7.568989		NO_MATCH_AND_SEEMS_UNSERVED								POINT(7.568989 49.983923)
13	Am Marktplatz	Leiningen (Hunsrück)	de:07140:060539	50.131819	7.570031		NO_MATCH_AND_SEEMS_UNSERVED								POINT(7.570031 50.131819)
14	Argenthal	Bäckerei Rupp	de:07140:060347:01:01	49.973675	7.594573	bus	NO_MATCH_BUT_OTHER_PLATFORM_MATCHED					649	Argenthal Kindergarten / Argenthal Rathaus		POINT(7.594573 49.973675)
15	Argenthal	Bäckerei Rupp	de:07140:060347:02:02	49.973698	7.594744	bus	MATCHED	n13426388609	6.6	0.64	Argenthal, Bäckerei Rupp	649	Argenthal Kindergarten / Argenthal Simmerner Straße / Mutterschied Bürgerhaus / Simmern (Hunsr) Schulzentrum / Argenthal Grundschule		LINESTRING(7.594744 49.973698,7.5947347 49.9736392)
16	Argenthal	Grundschule	de:07140:060345:01:01	49.974564	7.593657	bus	NO_MATCH					649	Argenthal Simmerner Straße / Argenthal Bäckerei Rupp		POINT(7.593657 49.974564)
17	Argenthal	Kindergarten	de:07140:060349:01:01	49.973241	7.599226	bus	NO_MATCH					649	Argenthal Grundschule / Mutterschied Bürgerhaus / Argenthal Simmerner Straße		POINT(7.599226 49.973241)
18	Argenthal	Rathaus	de:07140:060346:01:01	49.976292	7.595911	bus	MATCHED	n13406794922	5.7	0.78	Rathaus, Argenthal	649	Argenthal Simmerner Straße	Simmerner Straße, Argenthal	LINESTRING(7.595911 49.976292,7.5959234 49.9763424)
19	Argenthal	Rathaus	de:07140:060346:02:02	49.976298	7.596136	bus	MATCHED	n13406794921	6.5	0.76	Rathaus, Argenthal	649	Schnorbach Unterdorf	Kleinweidelbach, Ellerner Weiher / Eiche, Ellern	LINESTRING(7.596136 49.976298,7.596046800000001 49.976289200000004)
20	Argenthal	Simmerner Straße	de:07140:060348:01:01	49.975448	7.591591	bus	MATCHED	n7482037849	3.1	0.85	Simmerner Straße, Argenthal	649	Argenthal Rathaus / Argenthal Bäckerei Rupp	Rathaus, Argenthal	LINESTRING(7.591591 49.975448,7.5916231000000005 49.97542910000001)
21	Argenthal	Simmerner Straße	de:07140:060348:02:02	49.975454	7.591384	bus	MATCHED	n7482037848	1.7	0.9	Simmerner Straße, Argenthal	649	Argenthal Grundschule / Argenthal Bäckerei Rupp / Simmern (Hunsr) Schulzentrum	Industriepark / Süd, Simmern (Hunsr.)	LINESTRING(7.591384 49.975454,7.591389800000001 49.975439)
22	Aufm Pütz	Hahn (Hunsrück)	de:07140:060275	49.96191	7.272787		NO_MATCH_AND_SEEMS_UNSERVED								POINT(7.272787 49.96191)
23	Badenhard	Hauptstraße	de:07140:060095:01:01	50.122904	7.632293	bus	NO_MATCH					616,683	Utzenhain Gemeindehaus		POINT(7.632293 50.122904)
24	Badenhard	Hauptstraße	de:07140:060095:02:02	50.122956	7.632311	bus	NO_MATCH					616,683	Birkheim Gemeindehaus		POINT(7.632311 50.122956)
25	Baldenaustr.	Simmern (Hunsrück)	de:07140:060499	49.98807	7.536452		NO_MATCH_AND_SEEMS_UNSERVED								POINT(7.536452 49.98807)
26	Beethovenstr.	Kastellaun	de:07140:060512	50.064531	7.43753		NO_MATCH_AND_SEEMS_UNSERVED								POINT(7.43753 50.064531)
27	Belg	Abzw.	de:07140:060253:01:01	49.980515	7.310193	bus	MATCHED	n1467610393	6.5	0.69	Belg, Abzweig	655,750,751,753,796	Rödelhausen Hauptstraße / Rödelhausen Hunsrückhöhenstraße / Belg Gemeindehaus / Altlay Friedhof	Rödelhausen, Hunsrückhöhenstraße / Altlay, Friedhof	LINESTRING(7.310193 49.980515,7.310193600000001 49.9804564)
28	Belg	Abzw.	de:07140:060253:02:02	49.980544	7.310086	bus	MATCHED	n11449295391	6.8	0.68	Belg, Abzweig	655,750,796	Würrich Gemeindehaus	Würrich, Gemeindehaus	LINESTRING(7.310086 49.980544,7.310001300000001 49.980570900000004)
