	Ortsteil	Haltestelle	globaleID	lat	lon	mode	match_state	osm_id	distance	rating	osm_name	routes	official_direction	osm_direction	WKT
0	Axstedt	Breslauer Straße	de:03356:3942::1	53.353916	8.771408	bus	MATCHED	n1420875564	51.6	0.22	Axstedt, Breslauer Straße	565,681	Bramstedt-Harrendorf Friedhof / Lohe(Bramstedt) Feuerwehr / Lübberstedt Zum hohen Moor / Axstedt Friedhofsweg / Axstedt Grundschule	Lohe, Feuerwehr / Axstedt, Friedhofsweg	LINESTRING(8.771408 53.353916,8.7706666 53.3537813)
1	Axstedt	Breslauer Straße	de:03356:3942::2	53.353471	8.769068	bus	MATCHED	n6917194745	95.7	0.3	Axstedt, Breslauer Straße	565,681	Bramstedt-Harrendorf Finnaerberg / Axstedt Königsberger Straße	Harrendorf, Finnaer Berg / Harrendorf, Friedhof / Axstedt, Königsberger Straße / Axstedt Grundschule	LINESTRING(8.769068 53.353471,8.770346 53.353865400000004)
2	Axstedt	Friedhofsweg	de:03356:3943::1	53.355156	8.776285	bus	MATCHED	n6917194748	40.4	0.43	Axstedt, Friedhofsweg	565,681	Lohe(Bramstedt) Feuerwehr / Axstedt Breslauer Straße	Axstedt, Breslauer Straße / Lohe, Feuerwehr	LINESTRING(8.776285 53.355156,8.775793700000001 53.355368600000006)
3	Axstedt	Friedhofsweg	de:03356:3943::2	53.355119	8.773061	bus	MATCHED	n1420875566	20.7	0.39	Axstedt Friedhofsweg	681	Axstedt Breslauer Straße		LINESTRING(8.773061 53.355119,8.773358 53.3550643)
4	Axstedt	Friedhofsweg	de:03356:3943::3	53.354907	8.776455	bus	MATCHED	n6917194747	5.1	0.79	Axstedt, Friedhofsweg	565,681	Axstedt Königsberger Straße	Axstedt, Königsberger Straße	LINESTRING(8.776455 53.354907,8.776440000000001 53.3549524)
5	Axstedt	Grundschule	de:03356:3944::1	53.349942	8.772242	bus	MATCHED	n1420875567	1.3	0.87	Axstedt Grundschule	681	Axstedt Breslauer Straße	Axstedt, Breslauer Straße	LINESTRING(8.772242 53.349942,8.772261 53.349938)
6	Axstedt	Königsberger Straße	de:03356:3945::1	53.347821	8.781097	bus	MATCHED	n1420875568	14.1	0.63	Axstedt, Königsberger Straße	565,681	Lübberstedt Bahnhof / Lübberstedt Bahnhof / Lübberstedt Auf dem großen Felde	Bahnhof Lübberstedt	LINESTRING(8.781097 53.347821,8.781101000000001 53.3476945)
7	Axstedt	Königsberger Straße	de:03356:3945::2	53.348376	8.781205	bus	MATCHED	n6917194770	26.8	0.34	Axstedt, Königsberger Straße	565,681	Axstedt Friedhofsweg / Axstedt Friedhofsweg	Bahnhof Lübberstedt / Auf dem großen Felde / Axstedt, Friedhofsweg	LINESTRING(8.781205 53.348376,8.7812465 53.3486156)
8	Axstedt	Lübberstedt Auf dem großen Felde	de:03356:57656::1	53.341653	8.782397	bus	MATCHED	n6917194743	19.4	0.32	Auf dem großen Felde	681	Lübberstedt Bahnhof / Axstedt Königsberger Straße	Axstedt, Königsberger Straße / Bahnhof Lübberstedt	LINESTRING(8.782397 53.341653,8.7826869 53.3416341)
9	Gnarrenburg	Findorf Kreuzkuhle	de:03356:31105::1	53.336798	8.973726		NO_MATCH_AND_SEEMS_UNSERVED								POINT(8.973726 53.336798)
10	Gnarrenburg	Findorf Kreuzkuhle	de:03356:31105::2	53.336798	8.973726	bus	MATCHED	n7869655290	184.0	0.09	Findorf, Kreuzkuhle	849	Karlshöfenermoor Kaufhaus Tietjen		LINESTRING(8.973726 53.336798,8.973163600000001 53.3384178)
11	Gnarrenburg	Findorf Kreuzkuhle	de:03356:31105::3	53.336798	8.973726	bus	NO_MATCH_BUT_OTHER_PLATFORM_MATCHED					849	Karlshöfenermoor Kaufhaus Tietjen		POINT(8.973726 53.336798)
12	Grasberg	Abzw. Grasberg	de:03356:31683::1	53.175414	8.961156	bus	MATCHED	n1242581142	11.7	0.57	Abzweigung Grasberg	630,631,634,N63	Lilienthal Auf dem Kamp / Lilienthal	Weißdornweg / Auf dem Kamp / Lilienthal	LINESTRING(8.961156 53.175414,8.961330100000001 53.17540150000001)
13	Grasberg	Abzw. Grasberg	de:03356:31683::2	53.175377	8.961481	bus	MATCHED	n1242581150	16.1	0.35	Abzweigung Grasberg	611,670,671,N67	Worphausen Moorende	Findorffschule / Grasberg Kreuzung	LINESTRING(8.961481 53.175377,8.9617152 53.1754103)
14	Grasberg	Abzw. Grasberg	de:03356:31683::3	53.175043	8.961125	bus	NO_MATCH_BUT_OTHER_PLATFORM_MATCHED					611,630,631,634,668,670,671,N63,N67	Lilienthal / Grasberg Kreuzung / Grasberg Findorffschule / Grasberg Findorffschule / Lilienthal Auf dem Kamp		POINT(8.961125 53.175043)
15	Grasberg	Abzw. Tüschendorf	de:03356:31684::1	53.201371	9.029461	bus	MATCHED	n2648683047	4.6	0.75	Abzweig nach Tüschendorf	630,634,N63	Grasberg Wörpedorfer Straße/Mühlendamm	Grasberg, Wörpedorfer Straße / Mühlendamm	LINESTRING(9.029461 53.201371,9.029416900000001 53.201402300000005)
16	Grasberg	Abzw. Tüschendorf	de:03356:31684::2	53.201421	9.029855	bus	MATCHED	n7095496226	20.0	0.52	Abzweig nach Tüschendorf	630,634,N63	Tarmstedt Holschendorfer Weg	Tarmstedt, Holschendorfer Weg	LINESTRING(9.029855 53.201421,9.0296271 53.201304400000005)
17	Grasberg	Abzw. Tüschendorf	de:03356:31684::3	53.200875	9.028637		NO_MATCH_AND_SEEMS_UNSERVED								POINT(9.028637 53.200875)
18	Grasberg	Achterdamm	de:03356:31685::1	53.174154	9.018898		NO_MATCH_AND_SEEMS_UNSERVED								POINT(9.018898 53.174154)
19	Grasberg	Achterdamm	de:03356:31685::2	53.174154	9.018898	bus	MATCHED	n13176536241	7.8	0.73	Achterdamm	603,619	Grasberg Eickedorfer Straße 11	Eickedorfer Straße 11	LINESTRING(9.018898 53.174154,9.018803400000001 53.1741126)
20	Grasberg	Achterdamm	de:03356:31685::3	53.174154	9.018898		NO_MATCH_AND_SEEMS_UNSERVED								POINT(9.018898 53.174154)
