	Ortsteil	Haltestelle	globaleID	lat	lon	mode	match_state	osm_id	distance	rating	osm_name	routes	official_direction	osm_direction	WKT
0	Frankfurt am Main	Achenbachstraße	de:06412:1971:1:1	50.097438	8.676909	bus	MATCHED	n3484038943	3.3	0.84	Achenbachstraße	78	Frankfurt (Main) Holbein-Schule	Holbein-Schule	LINESTRING(8.676909 50.097438,8.6768698 50.097422200000004)
1	Frankfurt am Main	Achenbachstraße	de:06412:1971:2:2	50.097527	8.676307	bus	MATCHED	n3484038944	19.1	0.57	Achenbachstraße	78	Frankfurt (Main) Burnitzstraße	Burnitzstraße	LINESTRING(8.676307 50.097527,8.6765703 50.0975577)
2	Frankfurt am Main	Adalbert-/Schloßstraße	de:06412:1202:1:1	50.118731	8.644243	tram	MATCHED	n760625016	13.3	0.53	Adalbert-/Schloßstraße	16	Frankfurt (Main) Bockenheimer Warte	Bockenheimer Warte	LINESTRING(8.644243 50.118731,8.6442837 50.1186146)
3	Frankfurt am Main	Adalbert-/Schloßstraße	de:06412:1202:2:2	50.119288	8.644183	tram	MATCHED	n559189	24.8	0.4	Adalbert-/Schloßstraße	16	Frankfurt (Main) Varrentrappstraße	Varrentrappstraße	LINESTRING(8.644183 50.119288,8.6445296 50.1192964)
4	Frankfurt am Main	Adalbert-/Schloßstraße	de:06412:1202:3:3	50.119217	8.644533	bus	MATCHED	w539198969	5.6	0.78	Adalbert-/Schloßstraße	M32,M36,N16	Frankfurt (Main) Bockenheimer Warte	Bockenheimer Warte	LINESTRING(8.644533 50.119217,8.644487235017083 50.11917612164678)
5	Frankfurt am Main	Adalbert-/Schloßstraße	de:06412:1202:4:4	50.119461	8.644685	bus	MATCHED	w539198971	11.7	0.66	Adalbert-/Schloßstraße	M32,M36,N16	Frankfurt (Main) Westbahnhof / Frankfurt (Main) Westbahnhof / Frankfurt (Main) Festhalle/Messe	Festhalle/Messe	LINESTRING(8.644685 50.119461,8.644848724945554 50.11945542483414)
6	Frankfurt am Main	Adalbert-/Schloßstraße	de:06412:1202:6:6	50.11932	8.64291	bus	MATCHED	n1586670761	16.9	0.59	Adalbert-/Schloßstraße	M73	Frankfurt (Main) Westbahnhof		LINESTRING(8.64291 50.11932,8.6427402 50.119426100000005)
7	Frankfurt am Main	Adam-Opel-Straße	de:06412:1599:1:1	50.123774	8.755404	bus	MATCHED	n3406874275	7.6	1.0	Adam-Opel-Straße	31,41	Frankfurt (Main) Carl-Benz-Straße Nord / Frankfurt (Main) Carl-Benz-Straße Nord	Carl-Benz-Straße Nord	LINESTRING(8.755404 50.123774,8.755349500000001 50.123832300000004)
8	Frankfurt am Main	Adam-Opel-Straße	de:06412:1599:2:2	50.123765	8.755544	bus	MATCHED	n3406874274	5.0	1.0	Adam-Opel-Straße	41	Frankfurt (Main) Hugo-Junkers-Straße	Hugo-Junkers-Straße	LINESTRING(8.755544 50.123765,8.7554888 50.1237378)
9	Frankfurt am Main	Adlerflychtplatz	de:06412:413:1:1	50.124269	8.681553	bus	MATCHED	n3404674638	1.2	0.92	Adlerflychtplatz	M36	Frankfurt (Main) Hynspergstraße	Hynspergstraße	LINESTRING(8.681553 50.124269,8.681562300000001 50.1242597)
